,sc1,sc2,winnerid,numrounds,pseqc,iseqc,setc
0,45,20,0,1,1,1,0
1,40,80,1,4,0,0,0
2,40,76,1,8,0,0,0
3,40,22,1,3,2,0,1
4,20,80,1,1,0,0,0
5,40,13,1,5,1,2,0
6,20,80,1,1,0,0,0
7,80,20,0,1,0,0,0
8,20,80,1,1,0,0,0
9,20,16,1,1,1,1,1
10,40,80,1,3,0,0,0
11,40,75,1,3,0,0,0
12,40,24,1,2,1,1,1
13,40,71,1,2,1,0,0
14,20,39,1,1,1,1,0
15,73,20,0,1,0,0,0
16,40,75,1,3,0,0,0
17,40,4,1,5,1,1,1
18,20,56,1,1,0,0,0
19,80,0,1,3,1,2,1
20,40,17,1,3,1,1,1
21,17,20,0,1,1,1,1
22,20,80,1,1,0,0,0
23,80,0,1,13,1,3,0
24,20,69,1,1,0,0,0
25,40,19,1,2,2,1,0
26,80,0,1,7,2,1,1
27,40,73,1,7,0,0,0
28,80,0,1,3,2,1,1
29,40,71,1,2,0,0,0
30,40,40,1,4,1,1,0
31,40,78,1,2,0,0,0
32,40,80,1,3,1,0,0
33,40,0,1,3,1,1,2
34,20,80,1,1,0,0,0
35,77,0,1,5,1,1,2
36,20,80,1,1,0,0,0
37,20,80,1,1,0,0,0
38,40,73,1,3,0,0,0
39,40,39,1,8,1,1,0
40,40,30,1,8,1,1,1
41,40,80,1,2,0,0,0
42,40,80,1,7,0,0,0
43,71,0,1,4,1,1,2
44,80,0,1,3,2,1,1
45,80,20,0,1,0,0,0
46,20,80,1,1,0,0,0
47,20,72,1,1,0,0,0
48,40,80,1,2,0,0,0
49,20,80,1,1,0,0,0
50,40,24,1,2,1,1,1
51,20,80,1,1,1,0,0
52,40,41,1,5,1,1,0
53,40,47,1,4,1,1,0
54,20,78,1,1,0,0,0
55,20,80,1,1,0,0,0
56,40,24,1,3,1,2,0
57,20,80,1,1,0,0,0
58,20,20,1,1,1,2,0
59,40,80,1,8,0,0,0
60,40,80,1,5,0,0,0
61,40,78,1,2,1,0,0
62,20,80,1,1,0,0,0
63,40,9,1,5,1,2,0
64,40,68,1,2,1,0,0
65,40,45,1,4,1,1,0
66,40,80,1,2,0,0,0
67,20,51,1,1,1,1,0
68,34,0,1,7,1,2,1
69,80,20,0,1,0,0,0
70,40,64,1,2,0,0,0
71,40,80,1,3,0,0,0
72,20,80,1,1,0,0,0
73,40,29,1,2,1,1,1
74,20,80,1,1,0,0,0
75,40,48,1,3,1,1,0
76,40,32,1,5,1,1,0
77,80,20,0,1,0,0,0
78,40,74,1,7,0,0,0
79,20,66,1,1,1,0,0
80,37,20,0,1,1,1,0
81,19,20,0,1,1,2,0
82,40,70,1,3,1,0,0
83,20,41,1,1,1,1,0
