,sc1,sc2,winnerid,numrounds,pseqc,iseqc,setc
0,45,20,0,1,1,1,0
1,29,20,0,1,1,1,1
2,48,20,0,1,1,1,0
3,40,13,1,3,1,1,1
4,80,20,0,1,0,0,0
5,40,18,1,2,1,2,0
6,20,29,1,1,1,1,0
7,20,80,1,1,0,0,0
8,40,50,1,4,0,0,0
9,40,52,1,3,0,0,0
10,80,20,0,1,0,0,0
11,80,20,0,1,0,0,0
12,20,28,1,1,1,1,0
13,20,80,1,1,0,0,0
14,20,56,1,1,0,0,0
15,40,24,1,4,2,1,0
16,20,52,1,1,0,0,0
17,40,70,1,2,0,0,0
18,75,20,0,1,0,0,0
19,20,42,1,1,1,1,0
20,40,15,1,3,1,2,0
21,20,76,1,1,0,0,0
22,20,35,1,1,1,1,0
23,68,20,0,1,0,0,0
24,20,80,1,1,0,0,0
25,20,40,1,1,1,1,0
26,40,68,1,2,0,0,0
27,40,36,1,2,1,1,0
28,80,20,0,1,0,0,0
29,80,20,0,1,0,0,0
30,40,10,1,4,1,1,1
31,20,80,1,1,0,0,0
32,80,20,0,1,0,0,0
33,40,18,1,2,1,1,1
34,40,3,1,8,2,1,1
35,77,20,0,1,0,0,0
36,20,80,1,1,0,0,0
37,40,34,1,3,1,1,0
38,40,7,1,11,1,1,1
39,20,76,1,1,1,0,0
40,80,20,0,1,0,0,0
41,20,80,1,1,0,0,0
42,20,64,1,1,0,0,0
43,80,20,0,1,0,0,0
44,40,65,1,2,0,0,0
45,20,55,1,1,1,0,0
46,80,20,0,1,0,0,0
47,20,80,1,1,0,0,0
48,17,20,0,1,1,1,1
49,20,63,1,1,0,0,0
50,79,20,0,1,1,0,0
51,80,20,0,1,0,0,0
52,20,20,1,1,1,1,1
53,36,20,0,1,1,1,0
54,42,0,1,6,1,2,1
55,20,36,1,1,1,1,1
56,76,20,0,1,0,0,0
57,42,20,0,1,1,1,0
58,40,61,1,2,1,0,0
59,20,80,1,1,0,0,0
60,80,20,0,1,0,0,0
61,36,20,0,1,1,1,0
62,40,45,1,2,1,1,0
63,19,20,0,1,1,2,0
64,20,79,1,1,0,0,0
65,20,74,1,1,1,0,0
66,40,64,1,2,0,0,0
67,20,80,1,1,0,0,0
68,80,20,0,1,0,0,0
69,79,20,0,1,0,0,0
70,22,20,0,1,1,1,1
71,80,20,0,1,0,0,0
72,40,38,1,2,1,1,0
73,44,20,0,1,2,0,0
74,80,20,0,1,0,0,0
75,20,80,1,1,0,0,0
76,20,80,1,1,0,0,0
77,20,80,1,1,0,0,0
78,20,37,1,1,1,1,0
79,40,71,1,2,0,0,0
80,80,20,0,1,0,0,0
81,21,20,0,1,1,1,1
82,20,45,1,1,1,1,0
83,80,20,0,1,0,0,0
84,40,3,1,3,1,1,2
85,20,80,1,1,0,0,0
86,40,63,1,2,0,0,0
87,80,20,0,1,0,0,0
88,19,20,0,1,1,1,1
89,40,43,1,2,1,1,0
90,20,80,1,1,0,0,0
91,20,80,1,1,0,0,0
92,67,20,0,1,0,0,0
93,20,80,1,1,0,0,0
94,20,77,1,1,0,0,0
95,20,63,1,1,1,0,0
96,20,60,1,1,2,0,0
97,20,62,1,1,1,0,0
98,26,20,0,1,2,0,1
99,57,20,0,1,1,0,0
100,20,79,1,1,0,0,0
101,40,33,1,4,1,1,0
102,74,20,0,1,0,0,0
103,40,8,1,5,1,1,1
104,80,20,0,1,0,0,0
105,74,20,0,1,0,0,0
106,40,5,1,3,1,1,2
107,40,6,1,5,1,1,1
108,20,80,1,1,0,0,0
109,80,20,0,1,0,0,0
110,20,80,1,1,0,0,0
111,40,70,1,3,0,0,0
112,20,67,1,1,1,0,0
113,80,0,1,4,1,1,1
114,20,80,1,1,0,0,0
115,74,20,0,1,0,0,0
116,20,64,1,1,0,0,0
117,37,20,0,1,1,1,0
118,20,70,1,1,0,0,0
119,39,20,0,1,1,1,0
120,40,67,1,2,0,0,0
121,40,55,1,6,0,0,0
122,40,60,1,3,1,0,0
123,10,20,0,1,2,2,0
124,74,20,0,1,0,0,0
125,40,2,1,5,2,1,1
126,40,70,1,4,0,0,0
127,20,80,1,1,0,0,0
128,20,80,1,1,0,0,0
129,20,69,1,1,1,0,0
130,40,45,1,2,1,1,0
131,80,20,0,1,0,0,0
132,20,73,1,1,0,0,0
133,59,0,1,3,2,2,0
134,62,20,0,1,1,0,0
135,74,20,0,1,0,0,0
136,32,20,0,1,1,1,1
137,20,80,1,1,0,0,0
138,80,20,0,1,0,0,0
139,20,80,1,1,0,0,0
140,64,20,0,1,0,0,0
141,40,14,1,2,1,1,1
142,80,20,0,1,0,0,0
143,40,3,1,7,1,1,2
144,40,8,1,4,1,1,2
145,80,20,0,1,0,0,0
146,40,48,1,2,1,1,0
147,80,20,0,1,0,0,0
148,20,66,1,1,0,0,0
149,20,80,1,1,0,0,0
150,63,20,0,1,0,0,0
151,80,0,1,4,2,1,0
152,40,26,1,2,1,1,1
153,80,20,0,1,0,0,0
154,20,33,1,1,2,0,1
155,80,20,0,1,0,0,0
156,80,20,0,1,0,0,0
157,80,20,0,1,0,0,0
158,20,80,1,1,0,0,0
159,80,20,0,1,0,0,0
160,20,46,1,1,1,1,0
161,40,21,1,3,2,0,1
162,20,80,1,1,0,0,0
163,20,80,1,1,0,0,0
164,20,79,1,1,0,0,0
165,20,80,1,1,0,0,0
166,80,20,0,1,0,0,0
167,20,25,1,1,1,1,1
168,25,20,0,1,1,1,1
169,76,20,0,1,0,0,0
170,28,20,0,1,1,1,1
171,20,80,1,1,0,0,0
172,20,71,1,1,0,0,0
173,20,79,1,1,0,0,0
174,40,74,1,2,0,0,0
175,20,23,1,1,1,1,1
176,20,80,1,1,0,0,0
177,20,65,1,1,0,0,0
178,20,40,1,1,2,0,0
179,20,80,1,1,0,0,0
180,40,53,1,2,1,1,0
181,20,80,1,1,0,0,0
182,80,20,0,1,0,0,0
183,40,31,1,2,1,1,0
184,20,19,1,1,1,1,1
185,20,80,1,1,0,0,0
186,20,80,1,1,0,0,0
187,80,20,0,1,0,0,0
188,40,6,1,5,1,1,1
189,80,20,0,1,0,0,0
190,20,57,1,1,1,0,0
191,20,21,1,1,1,2,0
192,40,22,1,4,2,1,0
193,40,30,1,2,1,1,1
194,43,20,0,1,1,1,0
195,80,20,0,1,0,0,0
196,40,2,1,8,2,2,0
197,67,20,0,1,0,0,0
198,40,3,1,3,1,1,2
199,80,20,0,1,0,0,0
200,40,15,1,3,1,2,0
201,80,20,0,1,0,0,0
202,20,11,1,1,1,1,1
203,80,20,0,1,0,0,0
204,40,41,1,2,1,1,0
205,20,77,1,1,0,0,0
206,40,59,1,3,0,0,0
207,40,13,1,4,1,2,0
208,20,65,1,1,0,0,0
209,78,20,0,1,0,0,0
210,80,20,0,1,0,0,0
211,20,75,1,1,0,0,0
212,40,38,1,2,1,1,0
213,40,2,1,5,1,2,1
214,40,6,1,3,3,1,0
215,40,52,1,2,1,0,0
216,20,31,1,1,1,1,1
217,40,11,1,4,1,1,1
218,40,69,1,3,1,0,0
219,20,80,1,1,0,0,0
220,20,48,1,1,1,1,0
221,40,22,1,2,1,1,1
222,20,34,1,1,1,1,0
223,40,48,1,4,2,0,0
