,sc1,sc2,winnerid,numrounds,pseqc,iseqc,setc
0,45,20,0,1,1,1,0
1,80,40,0,2,0,0,0
2,72,40,0,4,0,0,0
3,40,32,1,2,2,0,1
4,20,80,1,1,0,0,0
5,40,80,1,3,0,0,0
6,20,80,1,1,0,0,0
7,80,20,0,1,0,0,0
8,20,80,1,1,0,0,0
9,20,16,1,1,1,1,1
10,40,80,1,2,0,0,0
11,40,80,1,2,0,0,0
12,54,20,0,1,1,1,0
13,80,20,0,1,0,0,0
14,20,39,1,1,1,1,0
15,40,40,1,3,1,1,0
16,40,70,1,2,1,0,0
17,40,78,1,3,0,0,0
18,20,56,1,1,0,0,0
19,40,64,1,4,0,0,0
20,40,46,1,3,2,0,0
21,20,80,1,1,0,0,0
22,40,80,1,2,0,0,0
23,20,50,1,1,1,0,0
24,40,80,1,2,0,0,0
25,20,80,1,1,0,0,0
26,20,80,1,1,0,0,0
27,80,40,0,2,0,0,0
28,40,80,1,10,0,0,0
29,20,80,1,1,0,0,0
30,80,40,0,2,0,0,0
31,80,20,0,1,0,0,0
32,40,80,1,2,1,0,0
33,40,15,1,2,1,1,1
34,20,80,1,1,0,0,0
35,80,40,0,6,0,0,0
36,80,20,0,1,0,0,0
37,65,20,0,1,0,0,0
38,20,80,1,1,1,0,0
39,80,40,0,8,0,0,0
40,40,73,1,2,0,0,0
41,20,7,1,1,1,2,1
42,40,80,1,5,0,0,0
43,80,40,0,7,0,0,0
44,20,27,1,1,1,2,0
45,21,20,0,1,1,1,1
46,20,80,1,1,0,0,0
47,80,40,0,2,0,0,0
48,20,69,1,1,0,0,0
49,20,75,1,1,0,0,0
50,80,40,0,2,0,0,0
51,40,80,1,2,1,0,0
52,20,80,1,1,0,0,0
53,77,40,0,2,0,0,0
54,40,71,1,2,1,0,0
55,40,75,1,5,0,0,0
56,38,40,0,2,1,1,0
57,20,80,1,1,0,0,0
58,20,80,1,1,0,0,0
59,20,72,1,1,0,0,0
60,20,25,1,1,2,1,0
61,20,61,1,1,0,0,0
62,79,40,0,2,0,0,0
63,20,80,1,1,0,0,0
64,68,20,0,1,1,0,0
65,20,78,1,1,0,0,0
66,20,80,1,1,0,0,0
67,79,40,0,4,0,0,0
68,40,67,1,2,0,0,0
69,20,80,1,1,0,0,0
70,20,80,1,1,0,0,0
71,40,43,1,3,2,0,0
72,40,80,1,3,0,0,0
73,80,40,0,2,0,0,0
74,20,80,1,1,0,0,0
75,20,80,1,1,0,0,0
76,80,40,0,2,0,0,0
77,20,78,1,1,0,0,0
78,40,25,1,6,1,1,1
79,80,40,0,2,0,0,0
80,40,74,1,2,0,0,0
81,66,20,0,1,0,0,0
82,80,20,0,1,0,0,0
83,80,20,0,1,0,0,0
84,80,20,0,1,0,0,0
85,80,20,0,1,0,0,0
86,19,20,0,1,1,1,1
87,47,20,0,1,1,1,0
88,20,80,1,1,0,0,0
89,20,80,1,1,0,0,0
90,67,20,0,1,0,0,0
91,20,73,1,1,0,0,0
92,20,77,1,1,0,0,0
93,20,63,1,1,1,0,0
94,20,60,1,1,2,0,0
95,20,62,1,1,1,0,0
96,26,20,0,1,2,0,1
97,40,80,1,2,0,0,0
98,20,68,1,1,1,0,0
99,27,40,0,2,1,2,0
100,74,20,0,1,0,0,0
101,20,75,1,1,1,0,0
102,40,32,1,2,1,1,1
103,40,76,1,3,1,0,0
104,20,77,1,1,1,0,0
105,20,80,1,1,0,0,0
106,20,35,1,1,2,0,1
107,40,80,1,5,0,0,0
