,sc1,sc2,winnerid,numrounds,pseqc,iseqc,setc
0,80,0,1,16,1,1,2
1,80,0,1,11,1,2,1
2,80,0,1,9,2,1,1
3,80,0,1,3,1,1,2
4,80,0,1,2,1,1,2
5,80,0,1,8,1,1,2
6,80,0,1,14,1,2,1
7,80,0,1,2,1,1,2
8,80,0,1,18,1,1,2
9,80,0,1,3,1,2,1
10,80,0,1,5,3,0,1
11,80,0,1,4,2,2,0
12,80,0,1,8,1,1,2
13,45,0,1,1,1,2,1
14,80,0,1,8,1,3,0
15,80,0,1,38,1,1,2
16,80,0,1,5,1,2,1
17,80,0,1,4,1,2,1
18,80,0,1,8,1,3,0
19,80,0,1,4,1,3,0
20,42,0,1,1,1,2,1
21,80,0,1,7,2,2,0
22,80,0,1,6,1,1,2
23,80,0,1,6,1,1,2
24,80,0,1,13,1,2,1
25,80,0,1,16,1,2,1
26,80,0,1,5,1,2,1
27,80,0,1,9,2,1,1
28,80,0,1,5,1,1,2
29,80,0,1,8,2,1,1
30,80,0,1,3,1,1,2
31,80,0,1,7,1,2,1
32,80,0,1,5,1,1,2
33,80,0,1,4,1,1,2
34,80,0,1,15,1,2,0
35,80,0,1,2,1,2,1
36,80,0,1,10,1,1,2
37,80,0,1,9,1,2,1
38,80,0,1,7,1,1,2
39,80,0,1,10,1,2,1
40,80,0,1,9,1,2,1
41,80,0,1,19,1,2,1
42,80,0,1,6,1,1,2
43,80,0,1,11,1,3,0
44,80,0,1,10,1,3,0
45,79,0,1,3,1,2,1
46,79,0,1,5,2,1,1
47,80,0,1,10,2,1,1
48,80,0,1,3,1,2,1
49,80,0,1,3,1,1,2
50,80,0,1,3,1,1,2
51,80,0,1,15,1,1,2
52,80,0,1,9,1,1,2
53,80,0,1,10,1,2,1
54,80,0,1,9,1,1,2
55,80,0,1,6,1,2,1
56,80,0,1,19,1,1,2
57,80,0,1,7,1,1,2
58,80,0,1,4,1,3,0
59,80,0,1,3,2,1,1
60,80,0,1,13,1,1,2
61,80,0,1,7,1,1,2
62,80,0,1,6,1,1,2
63,80,0,1,4,3,1,0
64,80,0,1,4,1,3,0
65,80,0,1,10,1,1,2
66,80,0,1,3,2,1,1
67,80,0,1,6,1,1,2
68,80,0,1,2,1,2,1
69,80,0,1,8,1,1,2
70,80,0,1,5,1,1,2
71,80,0,1,7,1,2,1
72,80,0,1,7,3,1,0
73,80,0,1,3,1,2,1
74,80,0,1,4,1,2,1
75,80,0,1,8,1,1,2
76,80,0,1,4,1,1,2
77,80,0,1,13,1,1,2
78,80,0,1,8,1,2,1
79,80,0,1,3,1,2,1
80,80,0,1,3,2,2,0
81,80,0,1,5,2,1,1
82,80,0,1,7,3,1,0
83,60,0,1,3,1,2,1
84,80,0,1,4,2,0,2
85,80,0,1,5,2,2,0
86,80,0,1,18,1,1,2
87,80,0,1,12,2,1,1
88,80,0,1,10,1,1,2
89,80,0,1,2,1,1,2
90,80,0,1,4,1,2,1
91,80,0,1,5,1,1,2
92,80,0,1,12,2,1,1
93,80,0,1,5,1,2,1
94,80,0,1,10,1,2,1
95,80,0,1,31,1,1,2
96,72,0,1,4,1,2,1
97,80,0,1,7,2,2,0
98,80,0,1,5,1,1,2
99,80,0,1,15,1,2,1
100,80,0,1,6,1,3,0
101,80,0,1,6,1,1,2
102,80,0,1,7,1,1,2
103,80,0,1,11,1,1,2
104,80,0,1,7,2,1,1
105,80,0,1,7,1,3,0
106,80,0,1,7,1,1,2
107,80,0,1,1,1,2,1
108,80,0,1,8,2,1,1
109,80,0,1,4,2,2,0
110,80,0,1,10,1,1,2
111,80,0,1,5,1,1,2
112,80,0,1,4,1,2,1
113,80,0,1,3,2,0,2
114,80,0,1,7,2,0,2
115,32,0,1,4,1,1,2
116,75,0,1,2,1,2,1
117,80,0,1,9,1,1,2
118,80,0,1,5,1,2,1
119,80,0,1,3,1,1,2
120,80,0,1,3,1,2,1
121,80,0,1,7,1,2,1
122,80,0,1,5,1,2,1
123,80,0,1,3,1,3,0
124,76,0,1,2,1,2,1
125,80,0,1,7,1,1,2
126,80,0,1,3,1,1,2
127,80,0,1,21,1,1,1
128,80,0,1,4,1,1,2
129,80,0,1,31,1,1,2
130,80,0,1,17,1,1,2
131,80,0,1,4,1,2,1
132,80,0,1,8,1,2,1
133,80,0,1,11,1,1,2
134,80,0,1,10,2,2,0
135,80,0,1,22,1,1,2
136,80,0,1,3,1,2,1
137,80,0,1,8,1,3,0
138,80,0,1,8,1,2,1
139,80,0,1,6,1,1,2
140,80,0,1,2,1,2,1
141,80,0,1,5,1,2,1
142,80,0,1,6,1,2,1
143,80,0,1,7,1,2,1
144,80,0,1,13,1,1,2
145,80,0,1,3,1,2,1
146,80,0,1,12,1,2,1
147,80,0,1,4,1,1,2
148,80,0,1,11,1,1,2
149,80,0,1,13,1,1,2
150,70,0,1,1,1,2,1
151,80,0,1,18,1,1,2
152,80,0,1,8,1,1,2
153,80,0,1,23,1,1,2
154,80,0,1,9,2,1,1
155,80,0,1,7,2,1,1
156,80,0,1,5,2,1,1
157,80,0,1,7,1,2,1
158,80,0,1,7,1,2,1
159,74,0,1,7,1,3,0
160,80,0,1,4,2,2,0
161,80,0,1,2,2,2,0
162,80,0,1,13,1,1,2
163,70,0,1,6,1,2,1
164,80,0,1,7,1,1,2
165,80,0,1,22,1,1,2
166,80,0,1,5,1,2,1
167,80,0,1,3,1,2,1
168,80,0,1,10,1,1,2
169,80,0,1,20,1,2,1
170,80,0,1,10,1,1,2
171,80,0,1,3,1,2,1
172,80,0,1,25,1,1,2
173,80,0,1,4,1,2,1
174,80,0,1,5,1,1,2
175,80,0,1,18,1,1,2
176,80,0,1,3,1,2,1
177,80,0,1,10,1,1,2
178,80,0,1,3,1,3,0
179,80,0,1,5,1,1,2
180,80,0,1,5,1,2,1
181,80,0,1,5,2,1,1
182,80,0,1,8,3,0,1
183,80,0,1,17,1,2,1
184,80,0,1,10,1,2,1
185,80,0,1,6,1,1,2
186,69,0,1,4,1,2,1
187,80,0,1,12,1,1,2
188,80,0,1,4,1,1,2
189,80,0,1,6,1,1,2
190,80,0,1,14,1,2,1
191,80,0,1,11,1,2,1
192,80,0,1,4,1,2,1
193,80,0,1,5,1,1,2
194,80,0,1,14,1,2,0
195,80,0,1,9,1,2,1
196,80,0,1,11,1,2,1
197,80,0,1,21,1,2,1
198,80,0,1,18,1,1,2
199,80,0,1,6,1,3,0
200,80,0,1,6,2,0,2
201,80,0,1,4,2,0,2
202,80,0,1,8,2,2,0
203,80,0,1,18,1,2,1
204,80,0,1,2,1,3,0
205,50,0,1,3,1,3,0
206,80,0,1,5,1,2,1
207,63,0,1,5,2,2,0
208,80,0,1,12,1,1,2
209,80,0,1,4,1,3,0
210,80,0,1,6,1,2,1
211,80,0,1,16,1,1,2
212,80,0,1,3,1,1,2
213,80,0,1,15,1,3,0
214,80,0,1,3,1,2,1
215,80,0,1,8,2,2,0
216,80,0,1,20,1,1,2
217,80,0,1,21,1,1,2
218,79,0,1,5,1,1,2
219,80,0,1,6,3,1,0
220,80,0,1,1,1,1,2
221,80,0,1,16,3,0,1
222,80,0,1,6,1,1,2
223,80,0,1,8,1,1,2
224,57,0,1,2,1,2,1
225,80,0,1,4,2,2,0
226,80,0,1,6,1,1,2
227,80,0,1,5,1,2,1
228,80,0,1,9,1,1,2
229,80,0,1,6,2,1,1
230,80,0,1,4,1,3,0
231,80,0,1,11,1,2,1
232,80,0,1,3,1,2,1
233,80,0,1,20,1,1,2
234,73,0,1,4,1,3,0
235,80,0,1,11,1,2,1
236,80,0,1,5,2,1,1
237,80,0,1,6,1,1,2
238,80,0,1,5,1,2,1
239,80,0,1,12,2,1,1
240,80,0,1,4,2,1,1
241,80,0,1,7,2,2,0
242,80,0,1,13,1,1,2
243,80,0,1,3,1,2,1
244,80,0,1,9,1,2,1
245,80,0,1,6,1,2,1
246,80,0,1,16,1,1,2
247,80,0,1,4,1,2,1
248,80,0,1,13,3,1,0
249,80,0,1,7,1,1,2
