,sc1,sc2,winnerid,numrounds,pseqc,iseqc,setc
0,80,0,1,42,1,2,1
1,80,0,1,8,1,1,2
2,80,0,1,17,3,0,1
3,80,80,0,100,0,0,0
4,80,0,1,8,1,1,2
5,80,0,1,5,1,1,2
6,80,0,1,16,3,0,1
7,80,0,1,30,2,0,2
8,80,0,1,1,2,2,0
9,80,0,1,4,1,2,1
10,80,0,1,15,1,1,2
11,80,0,1,12,1,2,1
12,80,0,1,3,1,3,0
13,80,0,1,12,1,1,2
14,80,0,1,2,2,0,2
15,80,0,1,7,3,0,1
16,80,0,1,7,1,1,2
17,80,0,1,27,1,2,1
18,80,0,1,7,2,0,2
19,80,80,0,100,0,0,0
20,80,0,1,16,2,1,1
21,80,0,1,8,1,1,2
22,80,0,1,11,1,1,2
23,80,0,1,5,2,1,1
24,80,0,1,6,2,0,2
25,80,0,1,4,2,1,1
26,80,0,1,9,1,1,2
27,80,0,1,3,1,1,2
28,80,0,1,16,1,1,2
29,80,0,1,9,1,1,2
30,80,0,1,4,2,0,2
31,80,0,1,13,1,1,2
32,80,0,1,2,1,2,1
33,80,0,1,16,2,1,1
34,80,0,1,9,1,2,1
35,80,0,1,7,1,1,2
36,80,0,1,23,1,1,1
37,80,0,1,7,3,1,0
38,80,0,1,15,2,1,1
39,80,0,1,8,1,2,1
40,80,0,1,9,1,2,1
41,80,0,1,11,1,1,2
42,80,0,1,3,1,2,1
43,80,0,1,10,1,2,1
44,80,0,1,9,1,1,2
45,80,0,1,3,1,2,1
46,80,0,1,7,1,1,2
47,80,0,1,18,1,2,1
48,80,0,1,13,2,0,2
49,80,0,1,15,1,1,2
50,80,0,1,16,1,1,2
51,80,0,1,11,1,2,1
52,80,0,1,7,1,2,1
53,80,0,1,7,1,1,2
54,80,0,1,8,1,1,2
55,80,0,1,5,1,3,0
56,80,0,1,3,2,1,1
57,80,0,1,6,1,2,1
58,80,0,1,7,1,1,2
59,80,0,1,12,2,1,1
60,80,0,1,4,3,1,0
61,80,0,1,4,1,3,0
62,80,0,1,18,2,0,2
63,80,0,1,5,2,2,0
64,80,0,1,6,3,1,0
65,80,0,1,3,1,1,2
66,80,0,1,9,1,1,2
67,80,0,1,12,3,1,0
68,80,0,1,7,1,1,2
69,80,0,1,9,2,1,0
70,80,0,1,3,1,1,2
71,80,0,1,10,2,0,2
72,80,0,1,10,3,1,0
73,80,0,1,7,3,1,0
74,80,0,1,10,1,2,1
75,80,0,1,6,2,1,1
76,80,0,1,5,1,2,1
77,80,0,1,9,1,1,2
78,80,0,1,5,2,1,1
79,80,0,1,5,1,1,2
80,60,0,1,3,1,2,1
81,80,0,1,7,2,1,1
82,80,0,1,5,2,2,0
83,80,0,1,22,2,1,1
84,80,0,1,12,3,0,1
85,80,0,1,14,1,2,1
86,80,0,1,2,1,2,1
87,80,0,1,6,1,1,2
88,80,0,1,9,1,2,1
89,80,0,1,15,2,0,2
90,80,0,1,5,1,2,1
91,80,0,1,19,3,0,1
92,80,0,1,7,1,1,2
93,80,0,1,7,1,3,0
94,80,0,1,8,2,1,1
95,80,0,1,5,1,1,2
96,80,0,1,20,2,0,2
97,80,0,1,7,1,3,0
98,80,0,1,8,1,2,1
99,80,0,1,5,1,1,2
100,80,0,1,11,2,0,2
101,80,0,1,7,2,1,1
102,80,0,1,7,2,2,0
103,80,0,1,17,2,2,0
104,80,0,1,2,1,1,2
105,80,0,1,10,1,2,1
106,80,0,1,8,1,2,1
107,80,0,1,18,1,3,0
108,80,0,1,10,2,1,1
109,80,0,1,5,1,2,1
110,80,0,1,8,3,0,1
111,80,0,1,14,2,0,2
112,80,0,1,7,1,1,2
113,76,0,1,3,1,2,1
114,80,0,1,15,2,0,2
115,80,0,1,5,2,2,0
116,80,0,1,14,1,1,2
117,80,0,1,7,1,1,2
118,80,0,1,13,1,1,2
119,80,0,1,5,1,2,1
120,80,0,1,5,1,3,0
121,76,0,1,2,1,2,1
122,80,0,1,10,1,1,2
123,80,0,1,4,1,1,2
124,80,0,1,28,3,1,0
125,80,0,1,5,1,1,2
126,80,0,1,9,1,3,0
127,80,0,1,9,1,1,2
128,80,0,1,52,1,1,2
129,80,0,1,4,1,2,1
130,80,0,1,17,2,1,1
131,80,0,1,2,2,1,1
132,80,0,1,43,1,1,2
133,80,0,1,8,1,3,0
