,sc1,sc2,winnerid,numrounds,pseqc,iseqc,setc
0,80,43,1,100,1,1,0
1,80,78,1,100,0,0,0
2,80,80,0,100,0,0,0
3,80,24,1,100,2,1,0
4,80,38,1,100,1,1,0
5,80,59,1,100,1,0,0
6,80,20,1,100,1,1,1
7,80,80,0,100,0,0,0
8,80,67,1,100,0,0,0
9,80,55,1,100,1,0,0
10,80,78,1,100,0,0,0
11,80,80,1,100,0,0,0
12,80,64,1,100,0,0,0
13,80,80,1,100,1,0,0
14,80,65,1,100,1,0,0
15,80,80,1,100,0,0,0
16,80,80,1,100,0,0,0
17,80,80,1,100,0,0,0
18,80,80,0,100,0,0,0
19,80,80,1,100,0,0,0
20,80,58,1,100,1,0,0
21,80,69,1,100,0,0,0
22,80,76,1,100,0,0,0
23,80,57,1,100,0,0,0
24,80,80,1,100,0,0,0
25,80,16,1,100,1,2,0
26,80,58,1,100,0,0,0
27,80,72,1,100,0,0,0
28,80,80,1,100,0,0,0
29,80,80,0,100,0,0,0
30,80,45,1,100,1,1,0
31,80,80,1,100,0,0,0
32,80,80,1,100,0,0,0
33,80,71,1,100,1,0,0
34,80,62,1,100,0,0,0
35,80,80,1,100,0,0,0
36,80,80,0,100,0,0,0
37,80,72,1,100,0,0,0
38,80,72,1,100,0,0,0
39,80,65,1,100,0,0,0
40,80,19,1,100,1,2,0
41,80,74,1,100,0,0,0
42,80,62,1,100,0,0,0
43,80,80,0,100,1,0,0
44,80,62,1,100,1,0,0
45,80,44,1,100,2,0,0
46,80,15,1,100,1,2,0
47,80,80,1,100,0,0,0
48,80,46,1,100,1,1,0
49,80,80,1,100,0,0,0
50,80,54,1,100,1,1,0
51,80,30,1,100,1,1,0
52,80,64,1,100,0,0,0
53,80,52,1,100,1,1,0
54,80,0,1,18,2,2,0
55,80,78,1,100,0,0,0
56,80,50,1,100,1,1,0
57,80,27,1,100,1,1,1
58,80,47,1,100,1,1,0
59,80,67,1,100,0,0,0
60,80,64,1,100,1,0,0
61,80,39,1,100,1,1,0
62,80,80,1,100,0,0,0
63,80,80,1,100,0,0,0
64,80,75,1,100,0,0,0
65,80,0,1,20,1,3,0
66,80,71,1,100,0,0,0
67,80,69,1,100,0,0,0
68,80,26,1,100,3,0,0
69,80,72,1,100,0,0,0
70,80,80,1,100,0,0,0
71,80,80,1,100,0,0,0
72,80,75,1,100,1,0,0
