,sc1,sc2,winnerid,numrounds,pseqc,iseqc,setc
0,0,77,0,3,1,2,1
1,0,5,0,4,2,1,1
2,0,42,0,5,1,1,2
3,0,80,0,1,1,2,1
4,29,0,1,4,1,1,2
5,0,28,0,7,1,2,1
6,0,78,0,5,1,1,2
7,79,0,1,2,1,1,2
8,22,0,1,5,1,2,1
9,14,0,1,6,1,1,2
10,29,0,1,4,2,0,2
11,58,0,1,9,1,3,0
12,0,30,0,7,3,1,0
13,0,7,0,1,3,0,1
14,77,0,1,7,2,2,0
15,0,13,0,10,2,1,1
16,0,31,0,3,3,1,0
17,80,0,1,4,1,1,2
18,0,72,0,3,1,1,2
19,80,0,1,3,2,2,0
20,12,0,1,1,2,1,1
21,0,42,0,13,1,1,2
22,0,13,0,13,2,1,1
23,69,0,1,8,1,1,2
24,0,80,0,4,1,2,1
25,43,0,1,8,1,1,2
26,0,3,0,9,1,3,0
27,80,0,1,6,2,0,2
28,14,0,1,4,2,1,1
29,0,23,0,7,2,0,2
30,0,43,0,6,2,0,2
31,37,0,1,9,1,2,1
32,69,0,1,3,1,1,2
33,37,0,1,4,3,1,0
34,77,0,1,9,1,3,0
35,49,0,1,4,2,1,1
36,0,79,0,9,1,1,2
37,68,0,1,10,1,2,1
38,80,0,1,5,1,1,2
39,0,40,0,8,2,1,1
40,23,0,1,10,2,1,1
41,0,18,0,7,3,1,0
42,18,0,1,7,2,1,1
43,64,0,1,9,1,3,0
44,26,0,1,11,2,2,0
45,58,0,1,4,2,1,1
46,0,22,0,5,1,1,2
47,18,0,1,16,4,0,0
48,76,0,1,9,2,1,1
49,70,0,1,13,1,2,1
50,25,0,1,3,1,1,2
51,9,0,1,14,1,1,1
52,72,0,1,11,1,1,2
53,0,80,0,7,1,3,0
54,0,3,0,8,1,2,1
55,0,80,0,9,2,2,0
56,71,0,1,5,1,3,0
57,0,10,0,4,2,1,1
58,0,10,0,3,3,0,1
59,62,0,1,10,2,1,1
60,0,74,0,6,1,1,2
61,80,0,1,4,2,1,1
62,0,9,0,9,1,1,2
63,79,0,1,5,3,1,0
64,0,60,0,4,2,1,1
65,0,78,0,5,1,1,2
66,21,0,1,4,2,1,1
67,11,0,1,4,3,0,1
68,20,0,1,2,2,1,1
69,0,22,0,12,1,1,2
70,0,72,0,5,2,1,1
71,0,80,0,5,2,0,2
72,49,0,1,12,4,0,0
73,68,0,1,6,2,1,1
74,45,0,1,7,2,1,1
75,80,0,1,5,1,1,2
76,0,73,0,7,1,2,1
77,0,79,0,8,3,0,1
78,0,32,0,2,2,0,2
79,80,0,1,3,1,2,1
80,0,80,0,9,1,1,2
81,80,0,1,5,2,1,1
82,15,0,1,7,3,0,1
83,7,0,1,7,2,1,1
84,20,0,1,5,2,0,2
85,0,27,0,5,1,2,1
86,69,0,1,13,1,1,2
87,11,0,1,14,3,0,1
88,0,80,0,3,1,2,1
89,0,13,0,4,1,1,2
90,41,0,1,3,1,2,1
91,65,0,1,7,2,0,2
92,27,0,1,11,2,1,1
93,0,22,0,2,1,1,2
94,0,47,0,8,1,1,2
95,80,0,1,10,1,1,2
96,0,18,0,8,2,1,1
97,0,23,0,6,1,2,1
98,10,0,1,8,3,0,1
99,0,12,0,10,2,0,2
100,19,0,1,4,1,1,2
101,0,24,0,6,1,2,1
102,65,0,1,5,2,1,1
103,80,0,1,8,1,2,1
104,30,0,1,5,2,1,1
105,0,56,0,1,2,2,0
106,37,0,1,10,1,1,2
107,80,0,1,1,1,2,1
108,0,58,0,5,2,2,0
109,76,0,1,8,2,2,0
110,0,4,0,11,1,1,2
111,0,80,0,6,3,1,0
112,12,0,1,8,3,0,1
113,75,0,1,11,1,1,2
114,10,0,1,8,2,0,2
115,0,69,0,3,1,1,2
116,58,0,1,1,1,2,1
117,23,0,1,9,2,1,1
118,0,46,0,2,3,1,0
119,0,12,0,5,2,1,1
120,20,0,1,7,1,3,0
121,0,80,0,4,1,2,1
122,0,13,0,12,2,2,0
123,0,30,0,2,3,0,1
124,26,0,1,8,2,1,1
125,18,0,1,6,2,1,1
126,28,0,1,5,1,1,2
127,0,80,0,10,1,2,1
128,35,0,1,3,2,2,0
129,0,13,0,7,1,1,2
130,80,0,1,8,1,1,2
131,0,62,0,4,1,1,2
132,80,0,1,5,1,2,1
133,53,0,1,11,1,1,2
134,80,0,1,8,1,1,2
135,23,0,1,6,2,0,2
136,0,11,0,6,1,2,1
137,80,0,1,10,1,2,1
138,80,0,1,7,1,2,1
139,80,0,1,5,1,2,1
140,76,0,1,7,1,3,0
141,0,80,0,2,2,1,1
142,13,0,1,19,2,2,0
143,57,0,1,6,1,2,1
144,0,53,0,2,1,1,2
145,0,17,0,3,1,2,1
146,0,26,0,8,1,1,2
147,0,73,0,6,1,2,1
148,0,72,0,8,1,1,2
149,0,80,0,7,1,2,1
150,51,0,1,1,1,2,1
