,sc1,sc2,winnerid,numrounds,pseqc,iseqc,setc
0,22,0,1,10,1,1,2
1,0,5,0,4,2,1,1
2,0,9,0,16,1,2,1
3,0,80,0,1,1,2,1
4,11,0,1,8,1,1,2
5,0,55,0,4,1,1,2
6,0,80,0,3,2,0,2
7,0,3,0,2,1,1,2
8,0,44,0,4,2,1,1
9,0,10,0,5,2,0,2
10,5,0,1,5,1,3,0
11,5,0,1,11,1,1,2
12,27,0,1,11,2,0,2
13,0,3,0,1,3,0,1
14,0,55,0,9,1,3,0
15,0,3,0,8,2,1,1
16,0,16,0,6,3,1,0
17,0,4,0,6,1,1,2
18,0,66,0,4,1,1,2
19,80,0,1,4,2,1,1
20,7,0,1,1,1,1,2
21,0,20,0,14,2,2,0
22,0,9,0,14,2,1,1
23,30,0,1,9,1,1,2
24,0,27,0,8,1,3,0
25,36,0,1,8,1,1,2
26,0,2,0,7,1,2,1
27,13,0,1,11,2,1,1
28,20,0,1,6,2,1,1
29,0,18,0,6,2,1,1
30,0,13,0,6,3,1,0
31,73,0,1,6,1,1,2
32,0,5,0,8,1,2,1
33,0,2,0,8,2,0,2
34,14,0,1,15,2,0,2
35,0,11,0,6,1,1,2
36,0,59,0,9,2,1,1
37,23,0,1,13,1,2,1
38,72,0,1,7,1,1,2
39,0,26,0,7,3,1,0
40,0,22,0,5,1,1,2
41,0,17,0,7,3,1,0
42,0,63,0,3,1,2,1
43,64,0,1,12,1,1,2
44,0,13,0,10,1,1,2
45,25,0,1,4,2,1,1
46,0,7,0,6,1,1,2
47,48,0,1,14,3,0,1
48,80,0,1,8,2,1,1
49,0,51,0,4,1,3,0
50,0,56,0,1,1,1,2
51,59,0,1,9,2,0,2
52,0,47,0,9,1,3,0
53,0,36,0,9,1,3,0
54,0,59,0,5,2,1,1
55,68,0,1,7,2,1,1
56,17,0,1,6,1,1,2
57,0,2,0,13,1,1,2
58,0,15,0,3,2,1,1
59,0,15,0,8,2,2,0
60,0,38,0,10,1,2,1
61,80,0,1,4,1,1,2
62,0,26,0,6,2,1,1
63,80,0,1,4,2,0,2
64,0,60,0,2,1,2,1
65,0,80,0,2,1,1,2
66,14,0,1,4,2,1,1
67,0,5,0,5,3,1,0
68,0,4,0,9,1,2,1
69,0,7,0,12,3,1,0
70,0,73,0,1,2,1,1
71,0,40,0,4,1,2,1
72,0,28,0,10,1,1,2
73,80,0,1,3,1,1,2
74,8,0,1,7,2,1,1
75,0,6,0,6,1,1,2
76,0,23,0,6,1,1,2
77,0,12,0,9,3,0,1
78,0,37,0,2,2,0,2
79,78,0,1,6,1,2,1
80,0,2,0,10,2,2,0
81,58,0,1,5,1,1,2
82,0,4,0,5,1,2,1
83,0,14,0,1,2,0,2
84,0,16,0,4,2,0,2
85,0,27,0,8,1,2,1
86,0,5,0,11,2,0,2
87,19,0,1,14,3,0,1
88,0,76,0,1,2,1,1
89,0,5,0,3,1,1,2
90,0,3,0,7,2,1,1
91,78,0,1,8,2,1,1
92,79,0,1,8,1,1,2
93,0,23,0,5,1,1,2
94,0,74,0,4,2,1,1
