,sc1,sc2,winnerid,numrounds,pseqc,iseqc,setc
0,29,0,1,9,1,1,2
1,0,5,0,4,2,1,1
2,0,42,0,7,1,1,2
3,0,80,0,1,1,2,1
4,0,2,0,9,1,2,1
5,0,55,0,4,1,1,2
6,0,80,0,3,2,0,2
7,0,3,0,2,1,1,2
8,0,44,0,4,2,1,1
9,14,0,1,8,1,3,0
10,5,0,1,5,1,3,0
11,8,0,1,14,2,1,1
12,0,8,0,11,2,1,1
13,0,3,0,1,3,0,1
14,0,40,0,8,1,2,1
15,3,0,1,11,1,1,2
16,0,16,0,6,3,1,0
17,80,0,1,10,1,1,2
18,10,0,1,12,1,1,2
19,80,0,1,5,2,1,1
20,7,0,1,1,1,1,2
21,0,3,0,8,1,1,2
22,0,3,0,14,2,2,0
23,0,4,0,14,2,1,1
24,0,20,0,8,1,2,1
25,4,0,1,11,1,1,2
26,0,13,0,7,1,2,1
27,0,8,0,8,1,1,2
28,26,0,1,5,2,1,1
29,0,15,0,6,2,0,2
30,0,6,0,9,2,1,1
31,6,0,1,11,2,2,0
32,16,0,1,12,1,1,2
33,0,2,0,8,2,0,2
34,0,5,0,13,1,1,2
35,0,11,0,6,1,1,2
36,0,11,0,15,3,0,1
37,14,0,1,14,1,2,1
38,80,0,1,6,1,1,2
39,0,11,0,7,2,1,0
40,0,22,0,5,1,1,2
41,0,17,0,7,3,1,0
42,5,0,1,10,1,1,2
43,64,0,1,12,1,1,2
44,0,41,0,4,2,1,1
45,17,0,1,4,2,1,1
46,0,16,0,5,1,1,2
47,49,0,1,8,3,1,0
48,68,0,1,10,2,1,1
49,0,48,0,5,1,2,1
50,0,56,0,1,1,1,2
51,0,5,0,14,2,1,1
52,40,0,1,15,2,1,1
53,0,35,0,9,1,1,2
54,0,38,0,8,2,1,1
55,79,0,1,5,2,1,1
56,39,0,1,6,1,1,2
57,62,0,1,8,2,0,2
58,0,15,0,3,2,1,1
59,69,0,1,8,4,0,0
60,0,2,0,12,1,2,1
61,80,0,1,5,1,1,2
62,4,0,1,12,2,1,1
63,80,0,1,5,3,1,0
64,0,60,0,2,1,2,1
65,0,80,0,2,1,1,2
66,14,0,1,4,2,1,1
67,0,15,0,7,3,1,0
68,7,0,1,7,1,1,2
69,0,7,0,12,3,0,1
70,0,73,0,1,2,1,1
71,74,0,1,6,2,1,1
72,0,2,0,15,2,0,2
73,80,0,1,3,2,0,2
74,34,0,1,8,2,1,1
75,80,0,1,6,2,1,1
76,0,2,0,9,1,2,1
77,0,2,0,9,2,0,2
78,0,37,0,2,2,0,2
79,0,23,0,3,1,1,2
80,13,0,1,9,1,1,2
81,0,31,0,5,2,1,1
82,0,4,0,5,1,1,2
83,0,14,0,1,2,0,2
84,0,6,0,6,2,0,2
85,0,9,0,10,1,1,2
86,65,0,1,18,2,2,0
87,9,0,1,14,4,0,0
88,0,76,0,1,2,1,1
89,0,5,0,3,1,1,2
90,0,26,0,3,3,1,0
91,0,10,0,8,2,1,1
92,74,0,1,9,3,0,1
93,0,19,0,6,1,1,2
94,0,74,0,4,2,1,1
95,65,0,1,11,3,0,1
96,0,14,0,3,2,1,1
97,0,9,0,6,1,2,1
98,0,14,0,7,1,1,2
99,0,14,0,10,2,0,2
100,0,4,0,5,3,0,1
101,16,0,1,7,1,3,0
102,47,0,1,4,1,1,2
103,80,0,1,12,1,1,2
104,5,0,1,8,2,1,1
105,0,77,0,1,1,2,1
106,0,10,0,17,1,2,1
107,80,0,1,1,1,2,1
108,17,0,1,12,2,1,1
109,77,0,1,13,1,1,2
110,0,35,0,14,1,1,2
