,sc1,sc2,winnerid,numrounds,pseqc,iseqc,setc
0,0,20,0,6,2,1,1
1,2,0,1,5,2,1,1
2,0,39,0,11,2,1,1
3,0,80,0,3,1,2,1
4,63,0,1,4,1,1,2
5,0,80,0,6,2,1,1
6,0,80,0,4,1,1,2
7,56,0,1,6,1,1,2
8,0,56,0,16,1,1,1
9,46,0,1,4,1,1,2
10,11,0,1,4,2,1,1
11,80,0,1,4,2,2,0
12,7,0,1,12,2,1,1
13,15,0,1,1,1,2,1
14,0,80,0,8,1,2,1
15,0,80,0,9,3,1,0
16,0,38,0,6,3,1,0
17,80,0,1,4,1,1,2
18,0,13,0,7,2,1,1
19,80,0,1,3,2,2,0
20,7,0,1,1,1,1,2
21,2,0,1,7,3,1,0
22,2,0,1,10,1,1,2
23,80,0,1,5,1,1,2
24,0,74,0,5,1,1,2
25,10,0,1,10,1,2,1
26,61,0,1,4,1,1,2
27,14,0,1,10,2,1,1
28,18,0,1,5,1,1,2
29,0,80,0,3,2,0,2
30,0,50,0,8,2,2,0
31,7,0,1,16,1,2,1
32,0,7,0,10,1,2,1
33,45,0,1,3,2,1,1
34,46,0,1,7,1,2,0
35,32,0,1,5,2,1,1
36,0,74,0,4,3,0,1
37,2,0,1,17,2,2,0
38,0,20,0,7,1,1,2
39,0,22,0,13,1,1,2
40,0,25,0,13,2,1,1
41,9,0,1,6,1,1,2
42,6,0,1,7,1,1,2
43,2,0,1,11,1,3,0
44,50,0,1,10,2,2,0
45,9,0,1,5,1,3,0
46,0,15,0,6,1,2,1
47,0,13,0,17,3,0,1
48,0,19,0,13,1,1,2
49,0,67,0,8,1,3,0
50,0,56,0,3,2,2,0
51,0,41,0,12,2,0,1
52,0,72,0,7,1,2,1
53,0,80,0,5,1,1,2
54,41,0,1,7,2,1,1
55,53,0,1,6,2,2,0
56,12,0,1,9,1,1,2
57,75,0,1,11,1,1,2
58,10,0,1,4,2,1,1
59,0,41,0,9,1,2,0
60,72,0,1,3,1,1,2
61,0,76,0,13,3,0,1
62,36,0,1,8,2,0,2
63,79,0,1,5,3,1,0
64,0,57,0,6,2,1,0
65,0,80,0,6,1,1,2
66,14,0,1,5,2,1,1
67,0,79,0,6,2,1,1
68,14,0,1,2,2,1,1
69,0,39,0,8,3,0,1
70,0,73,0,5,2,2,0
71,52,0,1,9,1,1,2
72,0,31,0,8,3,1,0
73,0,36,0,4,1,2,1
74,17,0,1,9,3,1,0
75,0,80,0,7,3,0,1
76,0,78,0,6,1,1,2
77,13,0,1,9,1,1,2
78,0,38,0,2,2,0,2
79,70,0,1,4,1,2,1
80,13,0,1,3,1,1,2
81,17,0,1,9,2,1,1
82,9,0,1,6,4,0,0
83,2,0,1,3,1,1,2
84,11,0,1,6,1,1,2
85,0,16,0,10,2,1,1
86,80,0,1,25,1,1,2
87,2,0,1,13,2,1,1
88,0,4,0,4,2,1,1
89,4,0,1,9,1,1,2
90,37,0,1,4,1,2,1
91,0,24,0,7,1,2,1
92,78,0,1,4,3,0,1
93,9,0,1,5,1,2,1
94,80,0,1,13,3,1,0
95,37,0,1,18,1,1,2
96,0,80,0,6,3,1,0
97,0,63,0,9,1,2,1
98,13,0,1,9,3,0,1
99,4,0,1,10,1,1,2
100,0,13,0,15,1,1,2
101,12,0,1,7,1,1,2
102,31,0,1,3,1,1,2
103,80,0,1,9,1,1,2
104,23,0,1,7,2,1,1
105,0,80,0,1,2,2,0
106,14,0,1,8,1,1,2
107,80,0,1,1,1,2,1
108,0,58,0,6,2,2,0
109,62,0,1,5,2,2,0
110,13,0,1,16,1,1,2
111,25,0,1,6,1,1,2
112,58,0,1,7,2,1,1
113,71,0,1,6,1,1,2
114,19,0,1,10,2,0,2
115,0,78,0,4,1,1,2
116,52,0,1,1,1,2,1
117,47,0,1,5,1,1,2
118,13,0,1,7,1,2,1
119,0,72,0,9,2,1,1
120,2,0,1,9,1,2,1
121,7,0,1,11,1,1,2
122,0,2,0,10,2,2,0
123,32,0,1,2,2,2,0
124,4,0,1,8,2,1,1
125,15,0,1,7,1,1,2
126,6,0,1,6,1,1,2
127,0,73,0,5,1,1,2
128,11,0,1,4,2,2,0
129,12,0,1,7,1,1,2
130,80,0,1,8,1,1,2
131,0,56,0,4,1,1,2
132,3,0,1,9,1,2,1
133,40,0,1,11,2,0,2
134,58,0,1,8,2,2,0
135,0,26,0,4,2,1,1
136,0,37,0,8,2,1,1
137,80,0,1,8,2,2,0
138,80,0,1,7,2,1,1
139,80,0,1,7,1,1,2
140,0,80,0,5,2,1,1
141,0,77,0,5,2,2,0
142,0,80,0,9,1,1,2
143,40,0,1,4,2,2,0
144,0,49,0,3,1,2,1
145,0,13,0,4,1,1,2
146,0,40,0,6,1,2,1
147,4,0,1,9,1,1,2
148,0,16,0,10,1,1,2
149,0,80,0,8,2,1,1
150,48,0,1,1,1,2,1
151,0,80,0,10,1,1,2
152,11,0,1,9,1,1,2
153,20,0,1,6,1,1,2
154,3,0,1,15,2,1,1
155,0,12,0,9,1,1,2
156,4,0,1,8,1,2,1
157,0,13,0,6,1,1,2
158,0,29,0,9,2,2,0
159,0,62,0,2,1,2,1
160,0,31,0,4,2,1,1
161,45,0,1,2,1,3,0
162,0,80,0,3,2,1,1
163,0,39,0,2,1,1,2
164,3,0,1,6,1,1,2
165,0,79,0,8,3,1,0
166,0,2,0,7,1,3,0
167,9,0,1,6,1,1,2
168,13,0,1,7,1,1,2
169,0,2,0,7,1,1,2
170,37,0,1,7,1,2,1
171,2,0,1,5,2,1,1
172,0,55,0,3,2,1,1
173,0,48,0,1,1,2,1
174,3,0,1,9,1,2,1
175,43,0,1,6,1,1,2
176,38,0,1,7,1,2,1
177,0,80,0,10,1,1,2
178,4,0,1,12,1,2,1
179,0,31,0,5,1,1,2
180,2,0,1,6,1,1,2
181,14,0,1,14,2,1,1
182,41,0,1,7,2,1,1
183,0,77,0,8,1,1,2
184,0,30,0,7,2,1,1
185,80,0,1,8,1,2,1
186,2,0,1,5,2,0,2
187,0,80,0,12,1,1,2
188,80,0,1,5,1,1,2
189,8,0,1,3,1,1,2
190,7,0,1,13,1,2,1
191,65,0,1,3,1,3,0
192,0,12,0,5,2,1,1
193,0,7,0,13,1,1,2
194,71,0,1,17,2,1,1
195,0,10,0,10,2,1,1
196,2,0,1,5,1,2,1
197,0,80,0,7,2,1,1
198,0,9,0,9,2,1,0
199,80,0,1,5,2,1,1
200,36,0,1,6,2,0,2
201,2,0,1,5,2,1,1
202,0,76,0,6,2,1,1
203,64,0,1,8,1,1,2
204,68,0,1,4,3,1,0
205,0,11,0,3,1,1,2
206,0,11,0,10,1,2,1
207,0,67,0,2,1,2,1
208,24,0,1,3,1,1,2
209,52,0,1,3,1,2,1
210,0,15,0,13,1,1,2
211,17,0,1,7,2,1,1
212,2,0,1,8,1,1,2
213,0,73,0,6,2,1,1
214,25,0,1,5,2,2,0
215,5,0,1,5,2,1,1
216,0,64,0,7,2,1,1
217,0,80,0,6,1,2,1
218,0,78,0,4,1,2,1
219,0,40,0,10,3,0,1
220,80,0,1,2,2,0,2
221,0,9,0,11,1,1,2
222,0,80,0,1,1,2,1
223,12,0,1,9,1,1,2
224,2,0,1,2,1,1,2
225,4,0,1,15,2,2,0
226,26,0,1,6,1,1,2
227,80,0,1,5,1,2,1
228,0,80,0,11,3,0,1
229,80,0,1,6,2,1,1
230,80,0,1,3,1,3,0
231,0,80,0,10,2,1,1
232,2,0,1,3,2,1,1
233,0,40,0,11,2,1,1
234,51,0,1,7,2,1,1
235,2,0,1,7,2,1,1
236,0,18,0,13,3,0,1
237,80,0,1,5,1,1,2
238,80,0,1,5,2,1,1
239,0,79,0,7,2,2,0
240,52,0,1,5,2,0,2
241,0,68,0,10,1,2,1
242,0,69,0,5,2,0,2
243,13,0,1,7,1,1,2
244,57,0,1,9,1,2,1
245,0,53,0,10,1,2,1
246,0,75,0,8,2,2,0
247,42,0,1,11,2,1,1
248,0,10,0,7,2,0,2
249,4,0,1,17,1,1,2
250,17,0,1,5,1,1,2
251,0,23,0,11,1,1,2
252,0,8,0,12,1,1,2
253,75,0,1,2,1,1,2
254,0,10,0,4,1,2,1
255,0,34,0,4,3,1,0
256,80,0,1,8,1,3,0
257,74,0,1,1,1,2,1
258,0,72,0,7,1,1,2
259,0,12,0,9,1,2,1
260,48,0,1,6,3,0,1
261,0,80,0,4,3,0,1
262,0,80,0,11,1,2,1
263,0,45,0,10,2,2,0
264,0,46,0,5,2,1,1
265,63,0,1,5,1,1,2
266,35,0,1,2,2,1,1
267,0,80,0,4,1,2,1
268,0,80,0,12,2,2,0
269,4,0,1,9,2,2,0
270,2,0,1,13,1,1,2
271,0,26,0,8,3,1,0
272,10,0,1,3,1,2,1
273,0,58,0,3,3,1,0
274,0,76,0,6,1,1,2
275,80,0,1,5,2,1,1
276,0,67,0,3,2,0,2
277,0,80,0,2,1,1,2
278,14,0,1,8,2,0,2
279,80,0,1,8,1,1,2
280,2,0,1,9,1,1,2
281,29,0,1,5,2,2,0
282,0,12,0,6,1,2,1
