,sc1,sc2,winnerid,numrounds,pseqc,iseqc,setc
0,0,77,0,3,1,2,1
1,2,0,1,4,2,1,1
2,6,0,1,16,2,0,2
3,0,80,0,1,1,2,1
4,26,0,1,4,1,1,2
5,0,34,0,6,2,1,1
6,0,80,0,5,2,0,2
7,69,0,1,4,1,1,2
8,2,0,1,6,1,2,1
9,29,0,1,4,2,0,2
10,11,0,1,5,3,0,1
11,80,0,1,4,2,2,0
12,0,12,0,9,3,0,1
13,15,0,1,1,1,2,1
14,0,14,0,10,1,1,2
15,0,80,0,12,3,0,1
16,0,38,0,6,2,2,0
17,80,0,1,4,1,2,1
18,0,80,0,5,1,1,2
19,80,0,1,3,2,2,0
20,7,0,1,1,1,1,2
21,2,0,1,6,3,1,0
22,7,0,1,11,1,1,2
23,62,0,1,6,1,1,2
24,0,59,0,11,2,1,1
25,28,0,1,9,1,1,2
26,40,0,1,4,1,1,2
27,80,0,1,6,2,0,2
28,21,0,1,5,1,1,2
29,0,60,0,4,2,0,2
30,0,58,0,6,1,2,1
31,9,0,1,15,2,2,0
32,2,0,1,8,1,1,2
33,35,0,1,4,3,1,0
34,0,13,0,10,1,1,2
35,38,0,1,4,2,1,1
36,0,80,0,4,2,1,1
37,20,0,1,7,1,2,1
38,55,0,1,5,1,1,2
39,6,0,1,6,2,1,1
40,0,31,0,13,2,1,1
41,0,80,0,7,2,1,1
42,0,4,0,6,2,2,0
43,4,0,1,12,1,3,0
44,0,8,0,12,1,1,2
45,47,0,1,5,2,1,1
46,0,22,0,6,1,2,1
47,35,0,1,15,2,0,2
48,9,0,1,13,2,1,1
49,0,69,0,7,1,3,0
50,5,0,1,3,1,1,2
51,36,0,1,5,2,0,2
52,0,59,0,7,1,2,1
53,2,0,1,9,1,1,2
54,29,0,1,9,2,1,1
55,61,0,1,6,1,1,2
56,54,0,1,7,1,3,0
57,12,0,1,10,2,0,2
58,2,0,1,6,3,0,1
59,0,16,0,9,2,1,1
60,72,0,1,3,1,1,2
61,0,8,0,11,2,0,2
62,8,0,1,9,2,0,2
63,79,0,1,5,3,1,0
64,0,52,0,5,2,1,0
65,0,78,0,5,1,1,2
66,20,0,1,4,2,1,1
67,0,23,0,5,2,1,1
68,14,0,1,2,2,1,1
69,0,10,0,9,2,1,1
70,0,77,0,5,2,2,0
71,0,29,0,5,1,1,2
72,0,32,0,12,3,0,1
73,61,0,1,5,2,1,1
74,16,0,1,6,2,1,1
75,9,0,1,8,1,1,2
76,0,24,0,11,1,3,0
77,5,0,1,16,1,1,2
78,0,32,0,2,2,0,2
79,70,0,1,4,1,2,1
80,4,0,1,9,1,1,2
81,31,0,1,5,1,1,2
82,2,0,1,8,3,0,1
83,0,13,0,3,2,0,2
84,19,0,1,4,1,1,2
85,80,0,1,9,2,0,2
86,80,0,1,14,1,1,2
87,57,0,1,5,2,1,1
88,4,0,1,4,1,2,1
89,0,16,0,9,1,1,2
90,32,0,1,4,1,2,1
91,0,25,0,6,1,1,2
92,78,0,1,4,3,1,0
93,0,34,0,4,1,1,2
94,0,32,0,15,1,1,2
95,37,0,1,18,1,2,1
96,13,0,1,3,1,2,1
97,0,33,0,7,1,1,2
98,2,0,1,8,3,0,1
99,5,0,1,9,1,1,2
100,29,0,1,4,1,1,2
101,23,0,1,6,2,1,1
102,28,0,1,3,1,1,2
103,80,0,1,8,1,2,1
104,21,0,1,5,2,1,1
105,0,77,0,1,2,2,0
106,19,0,1,8,2,1,1
107,80,0,1,1,1,2,1
108,0,8,0,9,1,2,1
109,62,0,1,5,2,2,0
110,44,0,1,13,1,2,1
111,50,0,1,5,1,2,1
112,59,0,1,7,2,1,1
113,71,0,1,6,1,1,2
114,24,0,1,9,2,0,2
115,0,75,0,5,1,2,1
116,52,0,1,1,1,2,1
117,48,0,1,5,1,1,2
118,2,0,1,6,2,1,1
119,0,78,0,12,2,2,0
120,8,0,1,8,1,2,1
121,0,80,0,5,1,3,0
122,13,0,1,10,1,1,2
123,0,17,0,5,1,1,2
124,3,0,1,8,2,1,1
125,0,4,0,10,2,0,2
126,10,0,1,6,1,1,2
127,0,80,0,5,1,2,1
128,11,0,1,4,2,2,0
129,12,0,1,7,1,1,2
130,80,0,1,8,1,1,2
131,0,62,0,4,1,1,2
132,19,0,1,7,1,2,1
133,42,0,1,9,3,0,1
134,65,0,1,8,1,2,1
135,10,0,1,5,1,1,2
136,25,0,1,7,1,2,0
137,80,0,1,8,1,2,1
138,80,0,1,8,3,1,0
139,80,0,1,5,1,2,1
140,4,0,1,10,1,3,0
141,0,80,0,2,2,2,0
142,0,77,0,11,1,1,2
143,63,0,1,5,2,2,0
144,0,17,0,5,2,0,2
145,0,17,0,3,1,2,1
146,0,37,0,8,1,1,2
147,0,26,0,6,2,2,0
148,0,64,0,8,1,2,1
149,2,0,1,10,1,2,1
150,48,0,1,1,1,2,1
151,0,80,0,4,1,1,2
152,14,0,1,9,1,1,2
153,30,0,1,7,1,2,1
154,0,15,0,11,2,0,2
155,0,42,0,5,1,1,2
156,4,0,1,7,1,3,0
157,0,75,0,4,1,1,2
158,0,12,0,11,3,1,0
159,0,45,0,3,1,2,1
160,0,2,0,6,2,1,1
161,41,0,1,2,1,3,0
162,2,0,1,6,1,1,2
163,0,6,0,4,1,1,2
164,0,80,0,5,1,1,2
165,4,0,1,11,1,2,1
166,32,0,1,7,1,3,0
167,9,0,1,8,1,2,1
168,52,0,1,6,2,1,1
169,2,0,1,9,1,1,2
170,62,0,1,8,1,2,1
171,2,0,1,6,2,1,1
172,0,53,0,3,2,1,1
173,0,51,0,2,1,2,1
174,3,0,1,7,1,2,1
175,2,0,1,13,1,2,1
176,47,0,1,5,1,2,1
177,0,21,0,9,1,1,2
178,27,0,1,12,1,2,1
179,47,0,1,8,1,1,2
180,14,0,1,4,1,2,1
181,14,0,1,14,2,1,1
182,44,0,1,7,2,1,1
183,0,67,0,11,3,1,0
184,0,73,0,7,1,1,2
185,80,0,1,8,1,2,1
186,4,0,1,4,2,0,2
187,11,0,1,14,1,1,2
188,80,0,1,5,2,1,1
189,8,0,1,3,1,1,2
190,0,77,0,17,2,1,1
191,65,0,1,3,1,3,0
192,0,20,0,4,1,2,1
193,15,0,1,8,1,1,2
194,71,0,1,16,1,1,2
195,15,0,1,6,1,2,1
196,0,11,0,5,1,2,1
197,2,0,1,9,1,1,2
198,0,71,0,6,2,1,1
199,80,0,1,5,2,1,1
200,54,0,1,5,2,0,2
201,2,0,1,4,2,0,2
202,0,76,0,5,1,2,1
203,0,15,0,14,4,0,0
204,66,0,1,5,3,1,0
205,0,16,0,4,1,1,2
206,0,18,0,7,1,1,2
207,0,74,0,2,2,1,1
208,28,0,1,3,1,1,2
209,15,0,1,3,1,2,1
210,11,0,1,13,1,2,1
211,80,0,1,6,2,1,1
212,8,0,1,7,2,1,1
213,0,70,0,7,2,1,1
214,0,20,0,3,1,2,1
215,0,80,0,2,2,1,1
216,0,57,0,7,2,0,2
217,0,66,0,8,1,1,2
218,0,80,0,5,1,2,1
219,0,39,0,9,2,1,1
220,80,0,1,2,2,0,2
221,0,10,0,11,1,1,2
222,0,80,0,1,1,2,1
223,57,0,1,9,1,1,2
224,2,0,1,2,1,1,2
225,0,17,0,15,2,0,2
226,31,0,1,6,1,1,2
227,80,0,1,4,1,1,2
228,5,0,1,13,1,1,2
229,80,0,1,6,2,1,1
230,80,0,1,3,1,3,0
231,0,18,0,11,2,0,2
232,0,15,0,2,1,2,1
233,22,0,1,5,1,1,2
234,56,0,1,6,3,1,0
235,0,22,0,6,2,0,2
236,0,17,0,14,2,0,2
237,80,0,1,5,1,1,2
238,80,0,1,5,2,1,1
239,0,80,0,5,1,2,1
240,52,0,1,5,2,0,2
241,0,80,0,3,2,1,1
242,0,78,0,4,1,2,1
243,13,0,1,7,1,1,2
244,13,0,1,9,1,1,2
245,0,45,0,12,1,3,0
246,43,0,1,5,1,2,1
247,0,56,0,10,1,3,0
248,0,14,0,6,2,1,1
249,69,0,1,6,1,1,2
250,80,0,1,4,1,1,2
251,0,22,0,11,2,1,1
252,0,19,0,13,2,1,0
253,71,0,1,2,1,1,2
254,0,14,0,6,2,1,1
255,0,43,0,3,3,1,0
256,80,0,1,8,1,3,0
257,74,0,1,1,1,2,1
258,11,0,1,10,2,1,1
259,34,0,1,9,3,1,0
260,51,0,1,5,3,0,1
261,0,11,0,10,3,0,1
262,77,0,1,7,1,1,2
263,2,0,1,12,2,0,2
264,0,19,0,9,2,0,2
265,80,0,1,5,1,1,2
266,39,0,1,2,2,1,1
267,2,0,1,12,2,2,0
268,0,71,0,11,3,0,1
269,0,48,0,8,2,0,2
270,2,0,1,11,1,2,1
271,0,5,0,8,2,1,1
272,9,0,1,4,1,2,1
273,0,58,0,2,3,0,1
274,2,0,1,8,1,1,2
275,80,0,1,6,2,0,2
276,0,65,0,3,3,0,1
277,0,27,0,2,1,1,2
278,57,0,1,6,1,1,2
279,0,71,0,14,1,1,2
280,5,0,1,8,1,1,2
281,29,0,1,5,2,2,0
282,0,16,0,6,1,2,1
283,13,0,1,4,1,1,2
284,32,0,1,4,1,3,0
285,0,33,0,10,1,2,1
286,0,4,0,4,2,1,1
287,80,0,1,5,2,2,0
288,44,0,1,2,1,2,1
289,0,77,0,9,1,1,2
290,0,18,0,4,3,1,0
291,20,0,1,10,1,1,2
292,0,67,0,5,2,1,1
293,12,0,1,10,1,2,1
294,31,0,1,4,2,0,2
295,59,0,1,4,2,1,1
296,33,0,1,11,1,1,2
297,12,0,1,4,1,1,2
298,0,26,0,8,2,1,1
299,0,12,0,13,2,0,2
300,60,0,1,3,3,1,0
301,9,0,1,5,1,2,1
302,16,0,1,5,1,2,1
303,5,0,1,9,1,2,1
304,0,79,0,3,2,1,1
305,23,0,1,8,2,2,0
306,15,0,1,6,1,1,2
307,77,0,1,9,1,1,2
308,10,0,1,6,1,1,2
309,0,53,0,9,1,1,2
310,0,38,0,3,1,1,2
311,0,56,0,6,2,2,0
312,0,75,0,6,1,1,2
313,62,0,1,6,1,1,2
314,80,0,1,13,2,1,1
315,0,19,0,8,1,2,1
316,80,0,1,7,1,1,2
317,0,45,0,6,1,1,2
318,0,11,0,11,2,1,1
319,7,0,1,5,2,1,1
320,0,68,0,9,1,1,2
321,32,0,1,4,1,1,2
322,0,31,0,6,2,1,1
323,15,0,1,7,1,2,1
324,0,34,0,5,2,0,2
325,12,0,1,7,2,1,1
326,80,0,1,5,1,2,1
327,0,42,0,6,1,2,1
328,0,12,0,6,2,1,1
329,6,0,1,9,3,0,1
330,0,80,0,3,1,1,2
331,54,0,1,5,2,2,0
332,0,80,0,0,1,2,1
333,0,80,0,19,3,1,0
334,0,12,0,16,2,0,2
335,25,0,1,18,1,1,2
336,0,11,0,10,1,1,2
337,7,0,1,7,1,2,1
338,0,26,0,9,1,1,2
339,0,47,0,1,3,0,1
340,76,0,1,1,1,1,2
341,52,0,1,9,2,0,2
342,4,0,1,10,3,0,1
343,12,0,1,10,1,2,1
344,0,66,0,2,2,2,0
345,10,0,1,11,2,0,2
346,0,35,0,10,1,1,2
347,57,0,1,5,1,2,1
348,2,0,1,7,1,3,0
349,51,0,1,3,2,2,0
350,10,0,1,11,1,2,1
351,65,0,1,12,2,1,1
352,0,59,0,7,2,1,1
353,15,0,1,5,2,0,2
354,80,0,1,4,1,2,1
355,12,0,1,6,1,2,1
356,10,0,1,7,1,1,2
357,40,0,1,1,1,2,1
358,8,0,1,8,1,1,2
359,0,80,0,6,1,3,0
360,0,23,0,5,2,0,2
361,0,11,0,9,2,1,1
362,0,68,0,1,1,2,1
363,0,34,0,9,1,3,0
364,9,0,1,7,2,1,1
365,0,28,0,10,1,2,1
366,0,80,0,3,1,1,2
367,0,12,0,8,2,0,2
368,0,19,0,4,2,1,1
369,80,0,1,3,2,1,1
370,80,0,1,2,2,1,1
371,0,23,0,4,2,2,0
372,0,36,0,6,2,1,1
373,4,0,1,16,1,1,2
374,0,73,0,8,2,2,0
375,0,26,0,8,2,1,1
376,80,0,1,3,1,1,2
377,0,79,0,3,1,3,0
378,0,80,0,6,1,1,2
379,0,76,0,4,2,2,0
380,23,0,1,11,2,2,0
381,0,10,0,2,1,2,1
382,0,77,0,4,1,2,1
383,0,56,0,1,2,0,2
384,0,18,0,6,1,2,1
385,0,76,0,3,1,1,2
386,9,0,1,5,1,1,2
387,5,0,1,3,1,1,2
388,8,0,1,9,1,2,1
389,0,14,0,16,2,1,1
390,9,0,1,13,2,0,2
391,44,0,1,7,2,0,2
392,0,12,0,8,2,0,2
393,4,0,1,11,3,1,0
394,0,3,0,7,1,2,1
395,0,22,0,8,2,2,0
396,2,0,1,6,2,2,0
397,80,0,1,7,3,1,0
398,2,0,1,9,1,2,1
399,0,59,0,2,2,1,1
400,0,26,0,9,2,1,1
401,0,22,0,8,1,2,1
402,8,0,1,11,1,1,2
403,80,0,1,4,1,1,2
404,53,0,1,8,2,2,0
405,0,73,0,0,1,2,1
406,0,78,0,2,2,1,1
407,0,72,0,8,1,2,1
408,0,80,0,13,1,3,0
409,38,0,1,8,1,2,1
410,73,0,1,9,1,2,1
411,0,80,0,5,1,1,2
412,80,0,1,6,1,1,2
413,0,66,0,5,1,1,2
414,0,14,0,11,1,1,2
415,0,25,0,12,3,1,0
416,0,8,0,4,2,2,0
417,10,0,1,5,2,1,1
418,9,0,1,7,1,2,1
419,10,0,1,6,3,1,0
420,28,0,1,8,2,1,1
421,21,0,1,12,2,1,1
422,30,0,1,3,1,2,1
423,49,0,1,10,1,1,2
424,0,80,0,1,1,2,1
425,3,0,1,8,1,2,1
426,2,0,1,7,1,1,2
427,0,71,0,9,1,2,1
428,0,46,0,6,1,2,1
429,0,14,0,11,2,1,1
430,0,43,0,2,1,1,2
431,35,0,1,17,1,1,2
432,0,22,0,7,2,1,1
433,0,30,0,2,2,2,0
434,60,0,1,7,1,1,2
435,0,79,0,8,2,1,1
436,0,78,0,7,1,1,2
437,0,68,0,8,2,2,0
438,0,45,0,3,1,1,2
439,80,0,1,7,2,1,1
440,0,80,0,3,1,1,2
441,0,80,0,3,1,1,2
442,0,58,0,14,1,1,2
443,32,0,1,8,1,3,0
444,16,0,1,11,1,1,2
445,4,0,1,10,3,1,0
446,48,0,1,15,2,1,1
447,80,0,1,9,1,2,1
448,16,0,1,8,1,2,1
449,30,0,1,16,1,2,1
450,57,0,1,3,2,1,1
451,3,0,1,13,2,2,0
452,0,80,0,13,2,0,2
453,0,67,0,4,1,2,1
454,0,26,0,3,1,2,1
455,0,25,0,9,3,0,1
456,0,16,0,6,1,2,1
457,80,0,1,3,1,1,2
458,0,32,0,3,2,2,0
459,0,63,0,9,1,2,1
460,0,10,0,16,3,0,1
461,0,12,0,6,2,1,1
462,0,22,0,5,2,2,0
463,28,0,1,8,3,0,1
464,6,0,1,10,2,2,0
465,0,21,0,6,2,2,0
466,4,0,1,11,1,1,2
467,0,80,0,11,1,1,2
468,6,0,1,10,3,1,0
469,0,71,0,3,1,1,2
470,16,0,1,7,2,2,0
471,11,0,1,4,3,1,0
472,0,10,0,3,1,1,2
473,60,0,1,4,1,2,1
474,0,26,0,7,2,0,2
475,0,27,0,5,2,0,2
476,0,80,0,5,2,1,1
477,14,0,1,5,1,1,2
478,31,0,1,3,1,2,1
479,42,0,1,7,3,0,1
480,2,0,1,6,1,1,2
481,0,12,0,12,1,2,1
482,59,0,1,5,1,3,0
483,3,0,1,7,1,1,2
484,80,0,1,9,1,2,1
485,48,0,1,9,1,3,0
486,80,0,1,3,2,1,1
487,32,0,1,6,1,2,1
488,0,13,0,4,1,1,2
489,0,54,0,4,2,1,0
490,28,0,1,9,1,2,1
491,0,80,0,15,1,3,0
492,8,0,1,6,2,1,1
493,0,4,0,6,1,1,2
494,43,0,1,5,1,2,1
495,0,69,0,5,1,3,0
496,17,0,1,5,2,1,1
497,0,74,0,3,1,1,2
498,47,0,1,6,1,1,2
499,12,0,1,5,1,3,0
500,39,0,1,7,1,3,0
501,0,8,0,10,2,1,1
502,57,0,1,5,1,1,2
503,10,0,1,7,2,1,1
504,0,23,0,5,2,0,2
505,21,0,1,10,2,1,1
506,4,0,1,6,3,1,0
507,14,0,1,8,1,2,1
508,0,16,0,16,2,1,1
509,0,10,0,9,3,1,0
510,0,47,0,6,2,2,0
511,0,63,0,10,3,1,0
512,80,0,1,2,1,2,1
513,8,0,1,8,1,2,1
514,9,0,1,9,2,2,0
515,0,22,0,6,3,0,1
516,0,80,0,6,1,1,2
517,14,0,1,2,2,1,1
518,3,0,1,6,4,0,0
519,11,0,1,7,1,2,1
520,4,0,1,10,1,3,0
521,2,0,1,14,1,2,1
522,0,21,0,4,2,0,2
523,12,0,1,9,1,1,2
524,80,0,1,2,1,2,1
525,3,0,1,16,1,2,1
526,47,0,1,6,2,1,1
527,58,0,1,7,1,2,1
528,25,0,1,4,1,3,0
529,5,0,1,13,2,0,2
530,8,0,1,6,2,1,1
531,2,0,1,10,1,2,1
532,0,10,0,3,1,1,1
533,0,80,0,2,2,1,1
534,2,0,1,5,3,1,0
535,0,4,0,8,1,2,1
536,10,0,1,13,2,1,1
537,0,19,0,8,2,2,0
538,0,18,0,7,2,0,2
539,0,11,0,4,3,0,1
540,80,0,1,4,4,0,0
541,15,0,1,3,1,2,1
542,0,15,0,3,1,2,1
543,0,80,0,6,1,1,2
544,71,0,1,5,2,1,1
545,17,0,1,4,1,1,2
546,42,0,1,9,1,1,2
547,0,71,0,6,3,0,1
548,3,0,1,6,2,1,1
549,41,0,1,5,1,2,1
550,0,80,0,2,1,1,2
551,5,0,1,14,1,2,1
552,0,72,0,11,1,1,2
553,16,0,1,3,1,1,2
554,75,0,1,7,2,1,1
555,12,0,1,6,2,1,1
556,9,0,1,7,1,2,1
557,0,20,0,4,2,1,1
558,0,27,0,5,1,2,1
559,0,4,0,4,1,1,2
560,0,61,0,7,1,2,0
561,8,0,1,8,1,2,1
562,0,15,0,6,1,1,2
563,0,31,0,2,2,2,0
564,11,0,1,6,3,1,0
565,0,57,0,4,3,1,0
566,18,0,1,7,1,2,1
567,0,12,0,3,1,1,2
568,0,47,0,4,1,3,0
569,24,0,1,6,1,1,2
570,0,36,0,4,2,1,1
571,6,0,1,20,1,3,0
572,33,0,1,6,2,1,1
573,12,0,1,8,1,1,2
574,80,0,1,7,1,2,1
575,46,0,1,6,1,1,2
576,0,32,0,2,1,2,1
577,0,15,0,5,1,2,1
578,0,6,0,7,1,2,1
579,36,0,1,7,2,2,0
580,0,17,0,9,1,1,2
581,80,0,1,6,1,2,1
582,0,23,0,10,2,1,1
583,0,37,0,8,2,1,1
584,0,30,0,7,1,2,1
585,41,0,1,6,1,2,1
586,49,0,1,2,2,1,1
587,13,0,1,5,1,1,2
588,0,70,0,10,1,1,2
589,3,0,1,9,2,1,1
590,0,26,0,9,1,2,1
591,0,30,0,8,3,0,1
592,38,0,1,3,3,1,0
593,0,9,0,5,1,2,1
594,2,0,1,12,1,1,2
595,0,16,0,11,1,1,2
596,8,0,1,11,1,1,2
597,4,0,1,12,1,1,2
598,0,72,0,3,1,2,1
599,0,80,0,4,3,0,1
600,3,0,1,10,2,1,1
601,80,0,1,12,1,2,1
602,3,0,1,11,2,1,1
603,0,28,0,1,1,2,1
604,0,32,0,5,1,2,1
605,0,4,0,10,2,1,1
606,0,80,0,1,1,1,2
607,47,0,1,3,2,2,0
608,2,0,1,6,2,1,1
609,2,0,1,6,1,2,1
610,0,80,0,2,3,0,1
611,0,15,0,4,1,1,2
612,80,0,1,3,1,1,2
613,62,0,1,4,1,2,1
614,80,0,1,4,2,1,1
615,25,0,1,10,1,2,1
616,0,69,0,2,2,2,0
617,3,0,1,12,3,1,0
618,51,0,1,5,1,2,1
619,71,0,1,6,1,3,0
620,80,0,1,4,3,0,1
621,50,0,1,8,2,1,1
622,80,0,1,3,2,0,2
623,37,0,1,17,2,0,2
624,29,0,1,6,1,3,0
625,2,0,1,7,3,0,1
626,8,0,1,8,1,1,2
627,4,0,1,6,2,2,0
628,0,16,0,12,2,1,1
629,0,80,0,7,1,1,2
630,0,80,0,2,1,1,2
631,47,0,1,5,2,2,0
632,0,48,0,8,2,0,2
633,29,0,1,12,1,3,0
634,3,0,1,4,2,2,0
635,0,10,0,10,2,0,2
636,80,0,1,4,1,3,0
637,12,0,1,2,1,1,2
638,2,0,1,11,3,0,1
639,0,28,0,4,1,2,1
640,80,0,1,4,1,1,2
641,80,0,1,6,1,2,1
642,9,0,1,6,1,1,2
643,0,7,0,8,2,2,0
644,0,18,0,9,1,2,1
645,2,0,1,8,2,0,2
646,80,0,1,9,1,1,2
647,40,0,1,10,1,1,2
648,16,0,1,9,2,1,1
649,4,0,1,15,1,2,1
650,0,16,0,6,2,1,1
651,10,0,1,7,4,0,0
652,80,0,1,2,1,1,2
653,21,0,1,6,3,1,0
654,7,0,1,14,3,0,1
655,0,80,0,3,1,1,2
656,18,0,1,3,1,2,1
657,0,80,0,4,1,1,2
658,3,0,1,8,2,1,1
659,28,0,1,16,2,1,1
660,59,0,1,3,2,0,2
661,9,0,1,3,1,1,2
662,53,0,1,6,2,1,1
663,0,80,0,6,1,2,1
664,0,57,0,2,1,2,1
665,34,0,1,9,1,1,2
666,0,33,0,10,3,1,0
667,13,0,1,10,1,2,1
668,0,76,0,5,1,3,0
669,9,0,1,10,1,2,1
670,2,0,1,8,2,0,2
671,80,0,1,5,1,2,1
672,19,0,1,8,1,2,1
673,11,0,1,5,1,3,0
674,0,24,0,3,2,1,1
675,0,25,0,4,2,2,0
676,0,8,0,6,2,1,0
677,55,0,1,5,1,2,1
678,0,13,0,14,1,2,1
679,0,40,0,3,1,2,1
680,0,34,0,18,2,0,2
681,0,22,0,11,1,1,2
682,13,0,1,9,3,1,0
683,8,0,1,6,2,1,1
684,49,0,1,5,3,1,0
685,13,0,1,8,2,1,1
686,25,0,1,8,1,1,2
687,49,0,1,6,3,1,0
688,0,67,0,15,2,0,2
689,0,37,0,2,1,1,2
690,5,0,1,11,2,0,2
691,0,80,0,4,1,2,0
692,4,0,1,13,1,1,2
693,0,79,0,5,3,0,1
694,7,0,1,4,1,2,1
695,2,0,1,7,2,1,1
696,0,78,0,5,2,1,1
697,9,0,1,8,3,1,0
698,0,22,0,11,1,1,2
699,50,0,1,3,1,1,2
700,80,0,1,12,1,1,2
701,0,13,0,7,2,2,0
702,5,0,1,7,2,2,0
703,0,25,0,6,1,1,2
704,29,0,1,3,2,0,2
705,0,17,0,5,1,2,1
706,0,18,0,8,2,1,1
707,0,52,0,5,2,0,2
708,2,0,1,6,1,1,2
709,80,0,1,9,2,1,1
710,0,80,0,6,1,1,2
711,54,0,1,5,2,1,1
712,31,0,1,11,1,1,2
713,0,3,0,12,1,1,2
714,0,21,0,8,2,0,2
715,5,0,1,4,1,1,2
716,0,55,0,1,1,3,0
717,37,0,1,6,1,1,2
718,34,0,1,2,1,3,0
719,0,80,0,2,2,0,2
720,0,19,0,7,1,1,2
721,10,0,1,6,1,1,2
722,65,0,1,7,1,1,2
723,2,0,1,9,1,2,1
724,0,8,0,6,1,2,1
725,0,29,0,8,1,1,2
726,80,0,1,5,1,1,2
727,19,0,1,3,2,2,0
728,19,0,1,7,2,1,1
729,0,6,0,7,1,1,2
730,0,76,0,6,2,0,2
731,48,0,1,5,1,1,2
732,0,20,0,4,1,1,2
733,19,0,1,8,1,1,2
734,0,38,0,9,2,2,0
735,0,3,0,15,2,1,1
736,0,4,0,7,3,0,1
737,0,80,0,3,3,1,0
738,0,52,0,5,2,2,0
739,64,0,1,7,1,1,2
740,7,0,1,5,2,1,1
741,80,0,1,9,1,2,1
742,43,0,1,6,2,1,1
743,80,0,1,3,2,1,1
744,0,80,0,3,1,1,2
745,2,0,1,19,1,1,2
746,13,0,1,7,3,0,1
747,2,0,1,7,2,2,0
748,0,21,0,5,1,1,2
749,37,0,1,7,1,1,2
750,0,80,0,10,2,1,1
751,28,0,1,5,1,2,1
752,70,0,1,6,1,1,2
753,40,0,1,2,3,1,0
754,80,0,1,4,1,2,1
755,0,22,0,2,2,2,0
756,2,0,1,8,2,0,2
757,0,73,0,3,2,1,1
758,0,64,0,8,2,0,2
759,0,78,0,7,2,2,0
760,0,17,0,9,1,2,1
