,sc1,sc2,winnerid,numrounds,pseqc,iseqc,setc
0,0,10,0,10,1,1,2
1,0,5,0,4,2,1,1
2,11,0,1,12,1,1,2
3,0,80,0,3,1,2,1
4,26,0,1,4,1,1,2
5,0,62,0,6,2,1,1
6,0,80,0,5,2,0,2
7,0,9,0,4,1,1,2
8,0,42,0,5,3,0,1
9,24,0,1,4,1,1,2
10,11,0,1,4,2,1,1
11,53,0,1,9,2,2,0
12,0,8,0,12,3,0,1
13,0,3,0,2,3,0,1
14,0,57,0,8,1,1,2
15,0,8,0,11,3,1,0
16,0,21,0,7,2,2,0
17,80,0,1,4,1,2,1
18,0,12,0,9,1,2,1
19,80,0,1,5,3,1,0
20,7,0,1,1,1,1,2
21,10,0,1,8,2,2,0
22,0,38,0,13,2,1,1
23,17,0,1,10,1,1,2
24,0,53,0,10,1,1,2
25,11,0,1,11,1,1,2
26,14,0,1,10,1,1,2
27,0,4,0,10,2,1,1
28,0,9,0,6,1,1,2
29,0,47,0,4,2,0,2
30,0,22,0,6,1,2,0
31,13,0,1,12,2,0,2
32,9,0,1,10,2,1,1
33,31,0,1,6,3,1,0
34,7,0,1,11,2,2,0
35,7,0,1,7,2,0,2
36,0,18,0,11,2,0,2
37,4,0,1,14,2,1,1
38,46,0,1,7,1,1,2
39,4,0,1,11,2,1,1
40,16,0,1,16,3,0,1
41,0,17,0,7,3,0,1
42,0,5,0,10,1,2,1
43,31,0,1,9,1,1,2
44,11,0,1,13,2,1,1
45,14,0,1,4,2,1,1
46,0,12,0,6,1,1,2
47,0,2,0,14,4,0,0
48,45,0,1,13,2,0,2
49,0,49,0,5,1,2,1
50,0,56,0,1,1,1,2
51,12,0,1,18,1,1,1
52,0,53,0,7,1,2,1
53,0,80,0,5,1,1,2
54,30,0,1,12,2,1,1
55,0,2,0,10,2,2,0
56,67,0,1,6,1,1,2
57,2,0,1,14,2,0,2
58,10,0,1,4,2,1,1
59,0,16,0,4,1,2,1
60,66,0,1,7,1,1,2
61,2,0,1,12,1,2,1
62,13,0,1,11,2,0,2
