,Random,Random,Random,Random,Random,Random,Defeat,Defeat,Defeat,Defeat,Defeat,Defeat,Minscore,Minscore,Minscore,Minscore,Minscore,Minscore,Mindist,Mindist,Mindist,Mindist,Mindist,Mindist,Mindistscore,Mindistscore,Mindistscore,Mindistscore,Mindistscore,Mindistscore,MindistOpp,MindistOpp,MindistOpp,MindistOpp,MindistOpp,MindistOpp
,Random,Defeat,Minscore,Mindist,Mindistscore,MindistOpp,Random,Defeat,Minscore,Mindist,Mindistscore,MindistOpp,Random,Defeat,Minscore,Mindist,Mindistscore,MindistOpp,Random,Defeat,Minscore,Mindist,Mindistscore,MindistOpp,Random,Defeat,Minscore,Mindist,Mindistscore,MindistOpp,Random,Defeat,Minscore,Mindist,Mindistscore,MindistOpp
0,1,80,-80,-73,-73,-78,-37,0,-80,-80,-80,-80,80,80,10,20,18,77,80,80,27,71,80,77,80,80,-29,44,80,79,80,80,-22,44,80,79
1,43,0,-71,-54,-64,-80,-2,0,-80,-80,-80,-58,20,60,5,-2,-2,-2,57,60,7,13,21,5,52,80,5,-11,-11,-11,70,80,5,-14,-14,-14
2,7,0,-53,-80,-27,-79,0,0,-80,-80,-80,-80,51,80,-11,39,50,-6,80,80,-80,13,58,42,62,80,42,60,58,42,80,80,9,13,11,66
3,0,38,-65,-80,-61,-61,-56,4,0,-80,-80,-80,80,80,80,80,80,80,79,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
4,0,80,-80,-77,-80,-46,-42,0,-80,-80,-80,-80,80,80,-26,-63,-26,-26,80,80,-29,-29,-29,-29,30,80,2,-40,-40,-40,4,80,-11,-30,-30,-30
5,0,24,-80,-74,-80,-80,-21,0,-80,-80,-80,-80,80,80,62,80,80,34,80,80,55,72,29,28,63,80,55,72,35,34,23,80,55,78,21,20
6,0,12,-80,-80,-50,-80,-60,0,-80,-80,-80,-80,80,80,80,80,80,80,69,80,80,80,80,78,80,80,80,32,80,78,80,80,80,80,80,78
7,66,0,-75,-80,-54,-67,0,0,-80,-80,-80,-80,80,80,9,-56,-69,-69,76,80,-79,-79,-79,-79,43,80,3,-80,-80,-80,80,80,3,-80,-80,-80
8,25,2,-79,-80,-80,-80,-13,0,-80,-80,-80,-80,66,80,42,56,-2,-2,67,80,-22,56,46,-22,80,77,44,56,-20,-20,80,77,44,56,46,-18
9,-8,0,-80,-69,-80,-61,-25,0,-80,-80,-80,-80,79,80,-24,-46,-29,-29,80,80,-33,-14,-33,-14,80,80,-14,-12,2,-12,80,80,10,-11,2,-11
10,-5,22,-80,-80,-80,-80,-2,0,-80,-80,-80,-80,80,69,-11,-11,-12,-11,44,69,-29,-29,-29,-29,80,69,-5,-32,14,-32,80,69,-5,-32,14,-32
11,7,44,-80,-80,-80,-80,0,0,-80,-80,-80,-80,80,80,-53,-80,-80,-80,80,80,-80,-58,-58,-58,80,80,-8,-68,-68,-68,70,80,-5,-18,-18,-58
12,28,9,-80,-61,-77,-22,-16,0,-80,-80,-80,-80,80,80,8,-7,6,12,25,80,26,-25,30,30,72,80,8,16,-44,-44,27,80,-27,16,-44,-44
13,-80,0,-30,-80,-80,-80,0,0,-80,-45,-45,-45,80,33,3,-15,-15,-15,80,17,3,7,7,7,64,13,3,7,7,7,41,13,3,7,7,7
14,5,0,-80,-80,-54,-80,-15,0,-80,-80,-80,-80,41,80,57,80,69,14,71,80,31,-77,14,-77,80,80,40,80,23,49,54,80,55,80,19,-73
15,-80,0,-80,-45,-49,-80,0,0,-80,-80,-80,-80,70,80,8,80,-5,80,80,80,5,-5,-5,13,80,74,-3,80,80,16,80,80,3,80,25,80
16,49,10,-80,-80,-21,-52,0,0,-80,-80,-80,-80,80,80,21,38,20,38,79,80,33,38,21,31,80,80,16,34,18,30,80,80,16,34,18,30
17,-8,0,-72,-69,-73,-80,0,0,-80,-80,-80,-80,80,80,-80,-80,-80,-80,77,80,-80,-80,-80,-80,47,80,-80,-77,-80,-80,41,80,4,-77,-80,-80
18,41,80,-80,-80,-80,-63,0,0,-80,-80,-80,-80,80,80,12,13,80,80,80,80,66,70,72,72,80,80,-10,75,74,80,80,80,66,75,74,80
19,40,5,-76,-77,-65,-80,0,0,0,-80,-80,-80,80,80,-80,-80,-80,-80,75,80,-80,-80,-80,-80,38,80,-80,-80,-80,-80,22,80,-80,-80,-80,-80
20,-74,6,-60,-73,-80,-80,-22,0,-80,-42,-42,-42,80,18,-7,-7,-7,-7,80,2,-12,-12,-12,-12,76,18,-7,-7,-7,-7,80,18,-7,-7,-7,-7
21,-33,67,-78,-71,-80,-77,-11,0,-80,-80,-80,-80,78,80,-10,-2,-2,-2,79,80,10,41,7,42,48,80,3,13,17,17,25,80,20,-20,-25,-20
22,-4,15,-55,-23,-76,-71,-4,0,-80,-80,-80,-80,80,80,38,-2,-3,-7,53,80,2,80,-37,13,70,80,3,80,10,-11,80,80,9,80,9,13
23,3,0,-80,-80,-80,-23,-23,22,-80,-80,-80,-80,80,80,-17,-80,-62,-62,80,80,-69,-80,-69,-69,80,80,4,-80,-5,-5,80,80,-30,-80,-37,-37
24,8,5,-48,-80,-54,-80,0,0,-80,-80,-80,-80,71,80,53,74,72,59,80,80,64,78,80,80,80,80,20,75,47,-6,58,80,27,80,54,68
25,-14,7,-80,-80,-78,-48,-64,0,-80,-80,-80,-80,68,80,-11,-10,-6,-28,64,80,55,-26,44,-43,80,80,-4,77,55,-37,80,80,-36,75,80,23
26,-16,19,-79,-80,-48,-79,-22,0,-80,-80,-80,-80,51,80,-14,-61,-40,-40,69,80,-8,-8,3,3,38,80,13,16,-12,-75,43,80,2,3,-12,-40
27,-58,30,-80,-80,-80,-80,-8,0,-80,-80,-80,-80,-7,80,4,-14,2,-80,80,80,8,-64,-80,-80,80,80,8,17,-80,-80,80,80,-13,-27,-12,-27
28,0,0,-80,-80,-80,-6,0,0,-80,-80,-80,-80,76,80,9,-18,-13,-21,73,80,-14,-14,-14,-14,80,80,-26,-11,-43,-43,80,80,-20,-20,-20,-20
29,-44,13,-41,-76,-80,-80,0,0,-80,-80,-80,-80,69,80,47,80,20,60,80,80,30,40,24,23,19,80,15,43,63,17,74,80,18,43,44,66
30,1,10,-64,-19,-80,-71,-35,0,-80,-80,-80,-80,39,80,22,50,34,58,75,80,16,38,20,43,36,80,6,50,-4,17,80,80,13,38,37,37
31,-48,0,-80,-80,-42,-68,0,0,-80,-80,-80,-80,76,80,-13,-7,-32,-9,33,80,-37,-14,-37,-37,80,80,-6,-51,-36,-36,80,80,-73,-66,-66,-66
32,0,56,-68,-80,-79,-80,0,-24,-80,-80,-80,-78,73,80,-9,7,-9,-2,21,80,7,-72,-69,-69,80,80,-16,-72,7,-72,23,80,5,-72,64,-72
33,-16,19,-80,-29,-80,-80,-9,0,-80,-80,-80,-80,72,80,-31,-45,2,-35,22,80,-37,-46,-37,-37,80,80,2,-16,-8,-17,29,80,2,-26,-20,-21
34,-59,12,-80,-33,-80,-78,-18,0,-80,-80,-80,-80,56,80,-7,-46,-13,13,80,80,-77,-77,-77,-77,80,71,5,-4,-78,-4,29,80,-14,-3,-2,10
35,3,0,-80,-49,-80,-71,0,18,-80,-80,-80,-80,80,80,-7,-32,-7,-38,80,80,-57,-49,-49,-49,30,80,11,-13,16,15,46,80,11,-21,16,15
36,51,0,-62,-4,-78,-80,0,0,-80,-80,-80,-80,80,80,18,74,14,80,57,80,-17,78,31,79,21,80,11,79,29,34,66,80,59,78,29,78
37,11,26,-80,-20,-31,-43,-8,0,-80,-80,-80,-80,80,80,-4,-2,-15,-20,80,80,-22,-36,-68,-68,43,80,-14,-38,-28,-8,80,80,-23,-35,21,-8
