hand,wcj,minscore,mindist
28 18 16 38 37 7 1 52 29 32,51,30,3
14 25 0 37 10 47 52 22 51 49,21,25,3
50 6 18 34 27 17 26 21 41 36,42,60,4
2 11 9 26 52 36 43 42 32 30,28,23,2
51 18 13 45 25 47 2 19 11 35,15,55,3
44 37 18 2 22 40 45 52 12 31,46,45,3
33 41 52 26 51 47 29 12 46 27,4,42,2
33 5 31 52 2 11 13 4 21 44,24,19,2
43 31 28 19 30 15 3 48 10 5,32,42,3
19 1 22 12 0 29 49 48 50 32,3,10,1
52 13 1 11 46 32 41 51 25 33,0,25,3
30 8 36 11 22 33 49 0 52 17,34,31,3
16 2 41 12 17 23 10 6 51 1,24,60,3
26 38 10 35 28 27 1 7 33 36,25,22,2
49 22 39 48 52 38 44 12 20 25,10,18,2
40 30 42 8 10 3 9 29 45 27,51,20,2
50 20 43 48 33 51 17 41 49 39,16,36,2
50 14 23 15 46 7 52 38 18 26,49,24,2
27 37 39 32 19 4 11 52 17 33,16,42,3
31 8 12 24 13 23 46 30 10 27,3,60,4
20 27 31 28 12 37 36 52 38 44,18,9,1
36 31 52 50 46 21 22 49 3 38,19,60,3
38 36 26 28 25 2 15 9 39 12,50,24,2
34 52 18 37 14 11 39 45 52 29,16,20,3
32 19 17 52 36 44 16 39 14 11,3,38,3
28 23 46 13 27 24 18 5 6 19,11,42,3
28 49 52 11 45 12 32 50 3 44,5,25,2
51 27 5 18 42 43 4 9 22 19,25,42,3
15 24 9 10 51 21 32 37 19 28,47,54,3
44 25 52 29 49 8 16 39 0 32,1,49,4
48 52 0 14 12 31 13 52 49 35,51,14,2
2 26 48 12 32 50 34 45 27 13,6,26,2
23 47 38 5 35 3 52 15 28 0,10,32,2
7 19 52 15 28 17 43 4 37 33,20,8,1
41 52 49 17 46 8 4 11 5 38,18,45,3
10 11 43 48 31 1 26 29 18 21,47,40,3
5 0 48 26 40 12 20 11 9 35,8,43,3
51 36 52 25 23 19 22 28 14 37,2,21,2
49 1 30 32 41 37 11 7 46 14,27,28,2
49 24 48 52 29 38 26 3 30 36,47,48,3
42 20 27 47 43 8 44 50 25 7,39,60,3
15 32 18 34 21 16 12 23 22 42,17,49,2
6 43 38 7 32 34 9 28 42 51,41,49,2
52 48 7 8 14 26 11 6 23 5,33,35,3
27 34 4 39 15 46 14 21 37 41,26,39,3
2 13 29 27 18 7 37 22 6 11,50,23,3
52 32 35 31 47 20 9 0 6 45,23,28,3
32 15 49 16 52 42 1 36 14 35,26,26,2
52 14 4 25 40 34 36 0 51 31,19,41,3
38 21 47 52 16 51 12 36 3 0,25,2,1
28 44 18 34 25 32 49 36 22 37,40,60,4
42 41 18 14 52 33 10 23 20 52,38,19,2
28 41 1 5 51 13 19 17 25 32,11,60,4
2 1 37 24 0 42 26 30 19 8,40,37,4
33 22 8 39 10 37 49 16 23 28,50,40,4
1 27 43 39 31 13 52 47 6 35,50,45,4
48 43 30 20 7 6 18 35 22 3,19,24,2
2 36 52 20 45 46 32 17 25 21,48,55,4
20 50 13 9 2 28 30 32 52 49,19,25,3
12 27 20 21 52 28 6 17 38 44,11,47,3
52 17 29 26 2 37 16 25 30 40,47,39,4
44 17 12 13 29 36 46 15 20 6,48,60,4
48 51 12 24 42 16 7 34 41 10,49,53,4
1 23 7 0 3 40 26 20 6 44,36,30,3
14 44 2 4 0 47 23 26 15 22,6,58,4
34 44 24 48 40 18 29 31 52 37,4,28,3
52 37 4 9 47 15 38 40 51 13,42,45,3
5 52 14 2 47 29 3 51 49 31,21,15,1
13 1 40 16 46 21 8 7 18 31,36,60,4
39 41 31 27 7 37 6 26 35 20,32,36,3
40 44 11 38 8 31 51 34 42 49,27,59,3
48 2 4 33 16 0 36 21 49 34,6,60,3
6 5 23 40 18 48 37 46 10 27,51,60,4
18 39 51 26 13 1 52 3 4 33,38,16,1
10 32 51 20 1 34 44 27 2 52,18,32,3
47 28 18 11 38 51 42 40 5 10,4,60,4
