,mscore
0,77
1,65
2,2
3,21
4,39
5,22
6,80
7,72
8,36
9,8
10,33
11,53
12,59
13,45
14,80
15,80
16,45
17,51
18,20
19,30
20,61
21,77
22,20
23,39
24,63
25,57
26,48
27,25
28,49
29,45
30,56
31,36
32,41
33,53
34,39
35,45
36,29
37,35
38,27
39,46
40,36
41,80
42,61
43,44
44,74
45,73
46,48
47,40
48,65
49,48
50,36
51,18
52,45
53,27
54,72
55,26
56,40
57,12
58,65
59,48
60,49
61,39
62,46
63,14
64,45
65,54
66,65
67,20
68,50
69,58
70,72
71,18
72,49
73,38
74,15
75,49
76,45
77,35
78,80
79,71
80,30
81,47
82,72
83,43
84,19
85,72
86,76
87,38
88,80
89,46
90,53
91,73
92,76
93,42
94,22
95,37
96,71
97,42
98,53
99,47
100,57
101,41
102,37
103,46
104,31
105,25
106,12
107,49
108,54
109,59
110,80
111,58
112,56
113,34
114,29
115,32
116,35
117,42
118,53
119,57
120,70
121,13
122,54
123,63
124,73
125,69
126,75
127,32
128,40
129,24
130,64
131,80
132,47
133,48
134,43
135,29
136,46
137,34
138,56
139,65
140,49
141,65
142,19
143,52
144,44
145,44
146,38
147,26
148,68
149,74
150,43
151,52
152,31
153,54
154,72
155,38
156,15
157,25
158,45
159,48
160,14
161,18
162,50
163,59
164,47
165,22
166,56
167,68
168,80
169,50
170,48
171,80
172,65
173,20
174,67
175,23
176,57
177,73
178,26
179,50
180,14
181,46
182,76
183,74
184,22
185,44
186,27
187,39
188,56
189,33
190,45
191,34
192,71
193,43
194,24
195,49
196,32
197,75
198,48
199,39
200,36
201,21
202,61
203,42
204,32
205,41
206,20
207,41
208,53
209,5
210,69
211,23
212,26
213,59
214,45
215,23
216,36
217,46
218,79
219,33
220,65
221,24
222,28
223,28
224,48
225,49
226,24
227,23
228,46
229,60
230,62
231,45
232,80
233,22
234,10
235,48
236,51
237,52
238,46
239,80
240,56
241,43
242,56
243,42
244,58
245,39
246,27
247,14
248,37
249,3
250,46
251,23
252,37
253,46
254,2
255,51
256,30
257,33
258,10
259,26
260,71
261,38
262,51
263,69
264,38
265,72
266,80
267,59
268,66
269,40
270,43
271,19
272,32
273,32
274,27
275,38
276,72
277,20
278,39
279,51
280,51
281,70
282,80
283,80
284,51
285,78
286,60
287,65
288,13
289,75
290,25
291,41
292,45
293,45
294,79
295,75
296,31
297,34
298,48
299,41
300,53
301,65
302,54
303,22
304,70
305,41
306,47
307,42
308,18
309,56
310,41
311,42
312,22
313,67
314,46
