,mdist1,mdist2
0,3,3
1,3,3
2,3,3
3,3,3
4,4,3
5,3,2
6,2,2
7,3,3
8,4,3
9,3,4
10,3,1
11,4,4
12,3,4
13,2,3
14,3,4
15,2,3
16,3,4
17,4,3
18,0,3
19,2,3
20,2,3
21,3,4
22,2,3
23,2,3
24,2,3
25,2,2
26,3,4
27,2,3
28,3,3
29,3,3
30,3,4
31,3,4
32,2,1
33,2,4
34,3,3
35,4,4
36,3,3
37,3,3
38,1,2
39,2,4
40,2,3
41,3,4
42,2,3
43,3,4
44,4,4
45,4,3
46,1,5
47,3,3
48,3,3
49,4,4
50,4,2
51,2,3
52,2,2
53,4,3
54,2,3
55,3,3
56,2,2
57,4,3
58,2,3
59,3,3
60,2,1
61,3,2
62,2,3
63,2,2
64,2,4
65,3,2
66,2,2
67,3,4
68,4,3
69,4,2
70,3,3
71,3,3
72,2,4
73,4,4
74,2,3
75,3,2
76,4,4
77,3,2
78,4,2
79,4,3
80,3,4
81,2,1
82,3,4
83,2,3
84,3,4
85,4,2
86,2,3
87,4,2
88,4,2
89,3,3
90,3,3
91,3,2
92,2,3
93,3,2
94,3,3
95,3,2
96,2,3
97,3,3
98,4,3
99,1,3
100,2,2
101,2,3
102,2,1
103,4,4
104,3,3
105,4,2
106,2,4
107,3,3
108,3,2
109,4,3
110,3,3
111,2,3
112,3,3
113,3,3
114,3,2
115,5,3
116,3,3
117,4,1
118,3,2
119,4,1
120,2,3
121,4,2
122,1,3
123,2,4
124,2,3
125,4,3
126,3,3
127,3,4
128,3,3
129,3,4
130,2,3
131,2,3
132,3,2
133,4,4
134,3,3
135,1,3
136,3,2
137,1,4
138,2,3
139,4,4
140,2,2
141,3,5
142,2,1
143,3,4
144,3,4
145,2,2
146,2,3
147,3,4
148,2,3
149,3,3
150,3,2
151,2,3
152,2,3
153,3,3
154,4,3
155,3,3
156,3,3
157,2,3
158,4,3
159,4,2
160,4,3
161,4,2
162,4,0
163,2,3
164,4,4
165,3,3
166,4,3
167,3,4
168,4,2
169,1,3
170,2,2
171,3,2
172,3,2
173,2,2
174,3,3
175,3,2
176,3,1
177,2,3
178,1,3
179,2,3
180,2,5
181,3,2
182,3,3
