init.score1,init.score2,Strategy 1,Strategy 2,P1 Score,P2 Score,Winner_ID
23,53,mcts-0,mcts-25,0,50,0
21,42,mcts-0,mcts-25,0,37,0
30,51,mcts-0,mcts-25,6,0,1
60,27,mcts-0,mcts-25,42,0,1
27,36,mcts-0,mcts-25,0,16,0
60,60,mcts-0,mcts-25,0,60,0
21,29,mcts-0,mcts-25,0,60,0
35,17,mcts-0,mcts-25,4,0,1
60,51,mcts-0,mcts-25,60,4,1
43,14,mcts-0,mcts-25,0,3,0
55,28,mcts-0,mcts-25,0,60,0
45,21,mcts-0,mcts-25,14,0,1
38,57,mcts-0,mcts-25,13,0,1
36,10,mcts-0,mcts-25,2,0,1
27,19,mcts-0,mcts-25,0,60,0
43,46,mcts-0,mcts-25,0,59,0
36,59,mcts-0,mcts-25,0,11,0
44,45,mcts-0,mcts-25,0,8,0
35,33,mcts-0,mcts-25,0,60,0
29,54,mcts-0,mcts-25,0,10,0
53,45,mcts-0,mcts-25,0,60,0
41,11,mcts-0,mcts-25,5,0,1
14,28,mcts-0,mcts-25,53,0,1
60,17,mcts-0,mcts-25,60,0,1
26,41,mcts-0,mcts-25,37,0,1
52,41,mcts-0,mcts-25,11,0,1
40,60,mcts-0,mcts-25,37,0,1
31,48,mcts-0,mcts-25,0,13,0
24,32,mcts-0,mcts-25,0,34,0
42,60,mcts-0,mcts-25,60,0,1
60,40,mcts-0,mcts-25,60,0,1
43,43,mcts-0,mcts-25,0,2,0
29,55,mcts-0,mcts-25,0,6,0
60,32,mcts-0,mcts-25,7,0,1
60,48,mcts-0,mcts-25,60,0,1
15,60,mcts-0,mcts-25,0,31,0
21,24,mcts-0,mcts-25,45,0,1
60,60,mcts-0,mcts-25,29,0,1
27,60,mcts-0,mcts-25,0,36,0
19,51,mcts-0,mcts-25,0,2,0
60,52,mcts-0,mcts-25,0,6,0
45,45,mcts-0,mcts-25,2,0,1
32,22,mcts-0,mcts-25,58,0,1
25,35,mcts-0,mcts-25,0,41,0
40,60,mcts-0,mcts-25,0,16,0
60,23,mcts-0,mcts-25,50,0,1
42,18,mcts-0,mcts-25,42,0,1
46,17,mcts-0,mcts-25,6,0,1
45,30,mcts-0,mcts-25,4,0,1
45,26,mcts-0,mcts-25,16,0,1
60,6,mcts-0,mcts-25,60,0,1
28,52,mcts-0,mcts-25,2,0,1
27,47,mcts-0,mcts-25,0,27,0
23,38,mcts-0,mcts-25,34,0,1
32,60,mcts-0,mcts-25,60,0,1
53,23,mcts-0,mcts-25,0,2,0
42,16,mcts-0,mcts-25,0,2,0
24,28,mcts-0,mcts-25,18,60,0
34,60,mcts-0,mcts-25,37,0,1
49,60,mcts-0,mcts-25,0,47,0
52,41,mcts-0,mcts-25,60,0,1
46,27,mcts-0,mcts-25,60,0,1
34,54,mcts-0,mcts-25,33,0,1
49,58,mcts-0,mcts-25,23,0,1
48,49,mcts-0,mcts-25,0,60,0
50,29,mcts-0,mcts-25,47,0,1
60,48,mcts-0,mcts-25,36,0,1
60,54,mcts-0,mcts-25,0,60,0
23,40,mcts-0,mcts-25,0,10,0
59,51,mcts-0,mcts-25,11,0,1
21,60,mcts-0,mcts-25,0,41,0
53,26,mcts-0,mcts-25,4,0,1
60,37,mcts-0,mcts-25,0,35,0
52,60,mcts-0,mcts-25,0,45,0
48,46,mcts-0,mcts-25,56,0,1
50,33,mcts-0,mcts-25,0,38,0
42,60,mcts-0,mcts-25,0,3,0
40,25,mcts-0,mcts-25,0,18,0
4,29,mcts-0,mcts-25,0,54,0
22,47,mcts-0,mcts-25,0,60,0
28,10,mcts-0,mcts-25,0,3,0
60,60,mcts-0,mcts-25,60,14,1
55,32,mcts-0,mcts-25,31,0,1
23,26,mcts-0,mcts-25,0,13,0
49,26,mcts-0,mcts-25,19,0,1
60,60,mcts-0,mcts-25,0,20,0
10,60,mcts-0,mcts-25,19,0,1
60,60,mcts-0,mcts-25,0,2,0
28,60,mcts-0,mcts-25,0,3,0
40,26,mcts-0,mcts-25,34,0,1
44,46,mcts-0,mcts-25,0,60,0
54,31,mcts-0,mcts-25,54,0,1
48,21,mcts-0,mcts-25,3,0,1
39,57,mcts-0,mcts-25,22,0,1
30,60,mcts-0,mcts-25,0,10,0
60,49,mcts-0,mcts-25,21,33,0
56,20,mcts-0,mcts-25,50,0,1
42,41,mcts-0,mcts-25,0,3,0
60,60,mcts-0,mcts-25,0,30,0
35,31,mcts-0,mcts-25,0,41,0
45,34,mcts-0,mcts-25,0,4,0
21,60,mcts-0,mcts-25,0,60,0
45,27,mcts-0,mcts-25,60,0,1
8,34,mcts-0,mcts-25,0,60,0
57,50,mcts-0,mcts-25,2,2,0
52,18,mcts-0,mcts-25,60,0,1
29,52,mcts-0,mcts-25,3,0,1
39,42,mcts-0,mcts-25,0,11,0
18,48,mcts-0,mcts-25,0,37,0
33,60,mcts-0,mcts-25,0,23,0
60,40,mcts-0,mcts-25,60,0,1
59,12,mcts-0,mcts-25,44,0,1
50,40,mcts-0,mcts-25,30,0,1
37,26,mcts-0,mcts-25,51,0,1
57,31,mcts-0,mcts-25,7,0,1
13,19,mcts-0,mcts-25,9,0,1
60,60,mcts-0,mcts-25,0,5,0
40,50,mcts-0,mcts-25,6,0,1
42,16,mcts-0,mcts-25,0,35,0
60,49,mcts-0,mcts-25,18,0,1
17,46,mcts-0,mcts-25,0,46,0
23,60,mcts-0,mcts-25,0,8,0
49,50,mcts-0,mcts-25,49,14,1
57,21,mcts-0,mcts-25,34,0,1
23,35,mcts-0,mcts-25,10,0,1
60,15,mcts-0,mcts-25,54,0,1
31,44,mcts-0,mcts-25,17,0,1
21,31,mcts-0,mcts-25,0,37,0
60,31,mcts-0,mcts-25,45,0,1
17,44,mcts-0,mcts-25,0,4,0
56,32,mcts-0,mcts-25,6,0,1
19,39,mcts-0,mcts-25,15,0,1
39,27,mcts-0,mcts-25,14,0,1
44,43,mcts-0,mcts-25,4,42,0
40,51,mcts-0,mcts-25,0,4,0
21,47,mcts-0,mcts-25,0,51,0
29,53,mcts-0,mcts-25,0,60,0
36,44,mcts-0,mcts-25,0,8,0
46,17,mcts-0,mcts-25,0,2,0
60,12,mcts-0,mcts-25,2,0,1
60,17,mcts-0,mcts-25,30,0,1
60,57,mcts-0,mcts-25,42,0,1
13,60,mcts-0,mcts-25,0,44,0
28,44,mcts-0,mcts-25,60,0,1
12,44,mcts-0,mcts-25,0,60,0
24,60,mcts-0,mcts-25,0,32,0
24,60,mcts-0,mcts-25,0,60,0
19,60,mcts-0,mcts-25,0,12,0
10,50,mcts-0,mcts-25,4,0,1
18,60,mcts-0,mcts-25,0,32,0
60,15,mcts-0,mcts-25,43,0,1
60,53,mcts-0,mcts-25,0,60,0
22,45,mcts-0,mcts-25,3,0,1
51,20,mcts-0,mcts-25,0,34,0
47,51,mcts-0,mcts-25,0,20,0
60,23,mcts-0,mcts-25,7,0,1
29,26,mcts-0,mcts-25,8,0,1
52,18,mcts-0,mcts-25,13,0,1
22,60,mcts-0,mcts-25,20,19,1
60,28,mcts-0,mcts-25,2,0,1
38,27,mcts-0,mcts-25,12,0,1
41,60,mcts-0,mcts-25,0,2,0
20,35,mcts-0,mcts-25,0,8,0
60,10,mcts-0,mcts-25,42,0,1
43,45,mcts-0,mcts-25,0,6,0
35,32,mcts-0,mcts-25,0,37,0
37,56,mcts-0,mcts-25,2,0,1
33,51,mcts-0,mcts-25,0,60,0
31,22,mcts-0,mcts-25,2,0,1
45,18,mcts-0,mcts-25,3,0,1
59,59,mcts-0,mcts-25,36,0,1
21,26,mcts-0,mcts-25,0,60,0
60,60,mcts-0,mcts-25,60,0,1
19,59,mcts-0,mcts-25,2,0,1
22,14,mcts-0,mcts-25,0,16,0
51,9,mcts-0,mcts-25,10,0,1
53,29,mcts-0,mcts-25,60,0,1
51,57,mcts-0,mcts-25,27,0,1
60,17,mcts-0,mcts-25,60,0,1
50,41,mcts-0,mcts-25,60,0,1
25,33,mcts-0,mcts-25,4,0,1
60,53,mcts-0,mcts-25,0,60,0
60,47,mcts-0,mcts-25,30,0,1
