init.score1,init.score2,Strategy 1,Strategy 2,P1 Score,P2 Score,Winner_ID
21,60,mcts-0,Mindist + Opp,12,0,1
37,53,mcts-0,Mindist + Opp,34,0,1
60,38,mcts-0,Mindist + Opp,60,0,1
33,17,mcts-0,Mindist + Opp,9,0,1
60,33,mcts-0,Mindist + Opp,38,0,1
26,44,mcts-0,Mindist + Opp,0,41,0
60,24,mcts-0,Mindist + Opp,32,0,1
25,34,mcts-0,Mindist + Opp,0,18,0
34,41,mcts-0,Mindist + Opp,29,0,1
36,46,mcts-0,Mindist + Opp,0,18,0
43,45,mcts-0,Mindist + Opp,41,0,1
60,21,mcts-0,Mindist + Opp,60,0,1
57,18,mcts-0,Mindist + Opp,57,0,1
53,52,mcts-0,Mindist + Opp,6,0,1
50,60,mcts-0,Mindist + Opp,5,0,1
33,33,mcts-0,Mindist + Opp,0,5,0
50,42,mcts-0,Mindist + Opp,23,0,1
27,39,mcts-0,Mindist + Opp,15,0,1
51,17,mcts-0,Mindist + Opp,26,0,1
33,60,mcts-0,Mindist + Opp,15,0,1
60,40,mcts-0,Mindist + Opp,60,0,1
60,52,mcts-0,Mindist + Opp,45,0,1
10,43,mcts-0,Mindist + Opp,4,0,1
53,32,mcts-0,Mindist + Opp,13,0,1
46,21,mcts-0,Mindist + Opp,45,0,1
26,54,mcts-0,Mindist + Opp,0,50,0
41,60,mcts-0,Mindist + Opp,5,0,1
60,37,mcts-0,Mindist + Opp,3,0,1
59,22,mcts-0,Mindist + Opp,12,0,1
23,60,mcts-0,Mindist + Opp,0,38,0
26,45,mcts-0,Mindist + Opp,20,0,1
43,60,mcts-0,Mindist + Opp,12,0,1
47,45,mcts-0,Mindist + Opp,11,0,1
32,30,mcts-0,Mindist + Opp,7,0,1
37,37,mcts-0,Mindist + Opp,15,0,1
33,29,mcts-0,Mindist + Opp,0,17,0
60,39,mcts-0,Mindist + Opp,60,0,1
60,23,mcts-0,Mindist + Opp,26,0,1
28,30,mcts-0,Mindist + Opp,10,0,1
18,60,mcts-0,Mindist + Opp,9,0,1
16,60,mcts-0,Mindist + Opp,0,60,0
53,44,mcts-0,Mindist + Opp,0,16,0
19,23,mcts-0,Mindist + Opp,0,22,0
32,60,mcts-0,Mindist + Opp,11,0,1
57,60,mcts-0,Mindist + Opp,3,0,1
22,45,mcts-0,Mindist + Opp,0,30,0
19,60,mcts-0,Mindist + Opp,0,41,0
40,32,mcts-0,Mindist + Opp,21,0,1
60,39,mcts-0,Mindist + Opp,0,16,0
48,7,mcts-0,Mindist + Opp,33,0,1
19,53,mcts-0,Mindist + Opp,9,0,1
55,27,mcts-0,Mindist + Opp,5,0,1
11,51,mcts-0,Mindist + Opp,12,0,1
34,48,mcts-0,Mindist + Opp,16,0,1
9,24,mcts-0,Mindist + Opp,0,10,0
52,31,mcts-0,Mindist + Opp,30,0,1
22,43,mcts-0,Mindist + Opp,0,24,0
58,16,mcts-0,Mindist + Opp,0,5,0
35,30,mcts-0,Mindist + Opp,0,22,0
16,60,mcts-0,Mindist + Opp,0,41,0
28,60,mcts-0,Mindist + Opp,0,17,0
22,25,mcts-0,Mindist + Opp,0,22,0
60,14,mcts-0,Mindist + Opp,44,0,1
46,50,mcts-0,Mindist + Opp,22,0,1
15,20,mcts-0,Mindist + Opp,2,0,1
60,25,mcts-0,Mindist + Opp,26,0,1
60,48,mcts-0,Mindist + Opp,42,0,1
60,60,mcts-0,Mindist + Opp,60,0,1
51,43,mcts-0,Mindist + Opp,21,0,1
41,40,mcts-0,Mindist + Opp,0,6,0
34,28,mcts-0,Mindist + Opp,29,0,1
38,60,mcts-0,Mindist + Opp,18,0,1
20,45,mcts-0,Mindist + Opp,0,32,0
17,51,mcts-0,Mindist + Opp,0,28,0
27,60,mcts-0,Mindist + Opp,48,0,1
56,49,mcts-0,Mindist + Opp,41,0,1
23,15,mcts-0,Mindist + Opp,4,0,1
25,54,mcts-0,Mindist + Opp,0,60,0
60,44,mcts-0,Mindist + Opp,28,0,1
60,7,mcts-0,Mindist + Opp,46,0,1
41,50,mcts-0,Mindist + Opp,10,0,1
27,16,mcts-0,Mindist + Opp,7,0,1
14,49,mcts-0,Mindist + Opp,0,29,0
24,54,mcts-0,Mindist + Opp,0,18,0
44,15,mcts-0,Mindist + Opp,2,0,1
53,28,mcts-0,Mindist + Opp,9,0,1
35,35,mcts-0,Mindist + Opp,11,0,1
22,22,mcts-0,Mindist + Opp,0,22,0
38,44,mcts-0,Mindist + Opp,20,0,1
60,47,mcts-0,Mindist + Opp,2,0,1
60,26,mcts-0,Mindist + Opp,0,4,0
28,50,mcts-0,Mindist + Opp,15,0,1
52,34,mcts-0,Mindist + Opp,27,0,1
60,27,mcts-0,Mindist + Opp,45,0,1
37,54,mcts-0,Mindist + Opp,0,3,0
21,44,mcts-0,Mindist + Opp,0,34,0
60,44,mcts-0,Mindist + Opp,26,0,1
39,42,mcts-0,Mindist + Opp,0,6,0
32,25,mcts-0,Mindist + Opp,23,0,1
60,28,mcts-0,Mindist + Opp,0,17,0
41,29,mcts-0,Mindist + Opp,11,0,1
29,21,mcts-0,Mindist + Opp,11,0,1
36,53,mcts-0,Mindist + Opp,0,32,0
48,24,mcts-0,Mindist + Opp,46,0,1
60,19,mcts-0,Mindist + Opp,50,0,1
50,17,mcts-0,Mindist + Opp,54,0,1
49,60,mcts-0,Mindist + Opp,0,38,0
60,23,mcts-0,Mindist + Opp,52,0,1
42,0,mcts-0,Mindist + Opp,34,0,1
60,60,mcts-0,Mindist + Opp,12,0,1
18,50,mcts-0,Mindist + Opp,0,16,0
49,60,mcts-0,Mindist + Opp,32,0,1
47,38,mcts-0,Mindist + Opp,49,0,1
60,60,mcts-0,Mindist + Opp,37,0,1
39,57,mcts-0,Mindist + Opp,0,28,0
18,37,mcts-0,Mindist + Opp,3,0,1
47,30,mcts-0,Mindist + Opp,39,0,1
24,53,mcts-0,Mindist + Opp,2,0,1
60,34,mcts-0,Mindist + Opp,50,0,1
60,60,mcts-0,Mindist + Opp,33,0,1
43,33,mcts-0,Mindist + Opp,9,0,1
34,28,mcts-0,Mindist + Opp,0,22,0
53,14,mcts-0,Mindist + Opp,49,0,1
15,60,mcts-0,Mindist + Opp,2,0,1
46,45,mcts-0,Mindist + Opp,0,17,0
21,60,mcts-0,Mindist + Opp,0,51,0
52,45,mcts-0,Mindist + Opp,15,0,1
49,60,mcts-0,Mindist + Opp,7,0,1
27,37,mcts-0,Mindist + Opp,4,0,1
24,60,mcts-0,Mindist + Opp,19,0,1
56,41,mcts-0,Mindist + Opp,0,7,0
31,43,mcts-0,Mindist + Opp,19,0,1
25,44,mcts-0,Mindist + Opp,9,0,1
55,30,mcts-0,Mindist + Opp,20,0,1
60,50,mcts-0,Mindist + Opp,2,0,1
60,18,mcts-0,Mindist + Opp,54,0,1
40,33,mcts-0,Mindist + Opp,0,24,0
40,11,mcts-0,Mindist + Opp,17,0,1
60,21,mcts-0,Mindist + Opp,56,0,1
49,60,mcts-0,Mindist + Opp,18,0,1
24,51,mcts-0,Mindist + Opp,0,55,0
50,12,mcts-0,Mindist + Opp,9,0,1
30,31,mcts-0,Mindist + Opp,0,5,0
45,60,mcts-0,Mindist + Opp,0,12,0
34,60,mcts-0,Mindist + Opp,0,18,0
60,10,mcts-0,Mindist + Opp,60,0,1
40,60,mcts-0,Mindist + Opp,19,0,1
9,48,mcts-0,Mindist + Opp,0,22,0
60,15,mcts-0,Mindist + Opp,60,0,1
31,41,mcts-0,Mindist + Opp,2,0,1
25,60,mcts-0,Mindist + Opp,25,0,1
40,24,mcts-0,Mindist + Opp,59,0,1
60,42,mcts-0,Mindist + Opp,37,0,1
42,47,mcts-0,Mindist + Opp,26,0,1
27,35,mcts-0,Mindist + Opp,2,0,1
38,17,mcts-0,Mindist + Opp,17,0,1
30,47,mcts-0,Mindist + Opp,10,0,1
40,29,mcts-0,Mindist + Opp,7,0,1
23,25,mcts-0,Mindist + Opp,11,0,1
45,44,mcts-0,Mindist + Opp,0,16,0
24,48,mcts-0,Mindist + Opp,20,0,1
47,51,mcts-0,Mindist + Opp,2,0,1
22,30,mcts-0,Mindist + Opp,18,0,1
47,47,mcts-0,Mindist + Opp,7,0,1
43,60,mcts-0,Mindist + Opp,0,23,0
46,31,mcts-0,Mindist + Opp,33,0,1
46,60,mcts-0,Mindist + Opp,39,0,1
60,26,mcts-0,Mindist + Opp,52,0,1
52,50,mcts-0,Mindist + Opp,23,0,1
12,47,mcts-0,Mindist + Opp,2,0,1
15,34,mcts-0,Mindist + Opp,0,34,0
60,41,mcts-0,Mindist + Opp,2,0,1
43,2,mcts-0,Mindist + Opp,53,0,1
44,60,mcts-0,Mindist + Opp,27,0,1
42,42,mcts-0,Mindist + Opp,32,0,1
30,50,mcts-0,Mindist + Opp,0,9,0
35,60,mcts-0,Mindist + Opp,40,0,1
47,31,mcts-0,Mindist + Opp,17,0,1
28,38,mcts-0,Mindist + Opp,0,6,0
30,60,mcts-0,Mindist + Opp,38,0,1
15,60,mcts-0,Mindist + Opp,21,0,1
30,13,mcts-0,Mindist + Opp,28,0,1
26,22,mcts-0,Mindist + Opp,28,0,1
50,60,mcts-0,Mindist + Opp,50,0,1
17,16,mcts-0,Mindist + Opp,0,15,0
39,33,mcts-0,Mindist + Opp,2,0,1
32,20,mcts-0,Mindist + Opp,37,0,1
60,39,mcts-0,Mindist + Opp,60,0,1
24,31,mcts-0,Mindist + Opp,26,0,1
60,24,mcts-0,Mindist + Opp,26,0,1
54,60,mcts-0,Mindist + Opp,15,0,1
27,60,mcts-0,Mindist + Opp,24,0,1
49,59,mcts-0,Mindist + Opp,26,0,1
41,27,mcts-0,Mindist + Opp,16,0,1
60,23,mcts-0,Mindist + Opp,19,0,1
45,30,mcts-0,Mindist + Opp,47,0,1
25,41,mcts-0,Mindist + Opp,0,19,0
23,42,mcts-0,Mindist + Opp,0,14,0
60,30,mcts-0,Mindist + Opp,28,0,1
45,27,mcts-0,Mindist + Opp,38,0,1
2,42,mcts-0,Mindist + Opp,0,41,0
47,50,mcts-0,Mindist + Opp,0,24,0
48,60,mcts-0,Mindist + Opp,23,0,1
51,37,mcts-0,Mindist + Opp,0,22,0
50,55,mcts-0,Mindist + Opp,19,0,1
20,12,mcts-0,Mindist + Opp,10,0,1
60,60,mcts-0,Mindist + Opp,0,42,0
39,51,mcts-0,Mindist + Opp,31,0,1
30,60,mcts-0,Mindist + Opp,4,0,1
25,13,mcts-0,Mindist + Opp,32,0,1
28,46,mcts-0,Mindist + Opp,0,24,0
29,28,mcts-0,Mindist + Opp,0,5,0
60,22,mcts-0,Mindist + Opp,48,0,1
23,60,mcts-0,Mindist + Opp,17,0,1
46,35,mcts-0,Mindist + Opp,42,0,1
16,60,mcts-0,Mindist + Opp,59,0,1
18,56,mcts-0,Mindist + Opp,0,10,0
27,60,mcts-0,Mindist + Opp,0,18,0
23,35,mcts-0,Mindist + Opp,33,0,1
58,54,mcts-0,Mindist + Opp,14,0,1
60,49,mcts-0,Mindist + Opp,21,0,1
31,14,mcts-0,Mindist + Opp,31,0,1
60,53,mcts-0,Mindist + Opp,60,0,1
60,23,mcts-0,Mindist + Opp,50,0,1
23,0,mcts-0,Mindist + Opp,15,0,1
28,53,mcts-0,Mindist + Opp,0,26,0
36,22,mcts-0,Mindist + Opp,13,0,1
16,31,mcts-0,Mindist + Opp,12,0,1
47,25,mcts-0,Mindist + Opp,32,0,1
58,25,mcts-0,Mindist + Opp,52,0,1
24,49,mcts-0,Mindist + Opp,24,0,1
14,25,mcts-0,Mindist + Opp,14,0,1
60,60,mcts-0,Mindist + Opp,54,0,1
16,31,mcts-0,Mindist + Opp,0,13,0
57,36,mcts-0,Mindist + Opp,0,27,0
46,43,mcts-0,Mindist + Opp,0,19,0
36,22,mcts-0,Mindist + Opp,38,0,1
43,37,mcts-0,Mindist + Opp,0,24,0
3,50,mcts-0,Mindist + Opp,0,48,0
60,60,mcts-0,Mindist + Opp,11,0,1
2,35,mcts-0,Mindist + Opp,0,20,0
31,56,mcts-0,Mindist + Opp,45,0,1
18,48,mcts-0,Mindist + Opp,0,39,0
39,25,mcts-0,Mindist + Opp,2,0,1
20,36,mcts-0,Mindist + Opp,0,13,0
60,46,mcts-0,Mindist + Opp,4,0,1
40,23,mcts-0,Mindist + Opp,12,0,1
60,56,mcts-0,Mindist + Opp,13,0,1
27,56,mcts-0,Mindist + Opp,4,0,1
30,47,mcts-0,Mindist + Opp,40,0,1
49,39,mcts-0,Mindist + Opp,0,14,0
20,40,mcts-0,Mindist + Opp,23,0,1
47,36,mcts-0,Mindist + Opp,23,0,1
48,59,mcts-0,Mindist + Opp,2,0,1
33,60,mcts-0,Mindist + Opp,0,57,0
56,28,mcts-0,Mindist + Opp,60,0,1
39,60,mcts-0,Mindist + Opp,21,0,1
56,60,mcts-0,Mindist + Opp,15,0,1
35,60,mcts-0,Mindist + Opp,12,0,1
36,35,mcts-0,Mindist + Opp,24,0,1
38,60,mcts-0,Mindist + Opp,0,10,0
22,36,mcts-0,Mindist + Opp,0,44,0
46,37,mcts-0,Mindist + Opp,51,0,1
10,55,mcts-0,Mindist + Opp,0,45,0
42,42,mcts-0,Mindist + Opp,3,0,1
39,49,mcts-0,Mindist + Opp,60,0,1
34,39,mcts-0,Mindist + Opp,17,0,1
38,24,mcts-0,Mindist + Opp,9,0,1
21,13,mcts-0,Mindist + Opp,27,0,1
52,60,mcts-0,Mindist + Opp,4,0,1
60,60,mcts-0,Mindist + Opp,28,0,1
35,60,mcts-0,Mindist + Opp,0,3,0
27,25,mcts-0,Mindist + Opp,11,0,1
42,44,mcts-0,Mindist + Opp,60,0,1
35,21,mcts-0,Mindist + Opp,32,0,1
14,50,mcts-0,Mindist + Opp,18,0,1
27,17,mcts-0,Mindist + Opp,19,0,1
60,55,mcts-0,Mindist + Opp,60,0,1
40,22,mcts-0,Mindist + Opp,17,0,1
42,23,mcts-0,Mindist + Opp,0,17,0
44,49,mcts-0,Mindist + Opp,25,0,1
60,15,mcts-0,Mindist + Opp,60,0,1
31,21,mcts-0,Mindist + Opp,13,0,1
22,46,mcts-0,Mindist + Opp,2,0,1
23,40,mcts-0,Mindist + Opp,17,0,1
16,60,mcts-0,Mindist + Opp,0,51,0
48,18,mcts-0,Mindist + Opp,26,0,1
39,34,mcts-0,Mindist + Opp,14,0,1
38,60,mcts-0,Mindist + Opp,35,0,1
44,49,mcts-0,Mindist + Opp,16,0,1
41,20,mcts-0,Mindist + Opp,17,0,1
44,60,mcts-0,Mindist + Opp,0,2,0
24,27,mcts-0,Mindist + Opp,50,0,1
51,29,mcts-0,Mindist + Opp,15,0,1
60,30,mcts-0,Mindist + Opp,60,0,1
