"","...1","Strategy 1","Strategy 2","P1 Score","P2 Score","Winner_ID","P1_rating","P2_rating","Avg Change in Ratings","Avg Change in Ratings without score modifications"
"1",1004,"MCTS-0","MCTS-50",0,2,0,1001,999,1,20
"2",623,"MCTS-0","MCTS-25",0,45,0,1031,970,30,20
"3",2693,"MCTS-25","MCTS-0",60,0,1,937,1064,33,17
"4",934,"MCTS-0","MCTS-25",12,0,1,1053,948,11,27
"5",4496,"MCTS-50","MCTS-0",0,26,0,1019,1033,20,23
"6",2948,"MCTS-25","MCTS-0",60,0,1,918,1048,23,11
"7",2146,"MCTS-25","MCTS-0",0,57,0,970,1022,39,20
"8",3175,"MCTS-25","MCTS-50",0,46,0,987,984,26,17
"9",2774,"MCTS-25","MCTS-0",2,0,1,986,1023,1,9
"10",5722,"MCTS-50","MCTS-25",0,14,0,993,981,7,15
"11",2374,"MCTS-25","MCTS-0",20,26,0,983,1021,2,11
"12",1103,"MCTS-0","MCTS-50",0,60,0,1039,956,28,14
"13",4046,"MCTS-50","MCTS-0",0,33,0,970,1032,10,9
"14",4366,"MCTS-50","MCTS-0",5,0,1,969,1033,1,6
"15",3454,"MCTS-25","MCTS-50",35,0,1,971,981,12,10
"16",2232,"MCTS-25","MCTS-0",0,2,0,971,1033,0,6
"17",2622,"MCTS-25","MCTS-0",0,60,0,983,1021,12,6
"18",3972,"MCTS-25","MCTS-50",0,35,0,989,969,9,7
"19",1685,"MCTS-0","MCTS-50",0,29,0,1025,961,6,6
"20",2600,"MCTS-25","MCTS-0",60,0,1,980,1034,9,4
"21",5332,"MCTS-50","MCTS-25",0,3,0,962,979,1,5
"22",3000,"MCTS-25","MCTS-0",0,3,0,980,1033,1,6
"23",5315,"MCTS-50","MCTS-25",3,0,1,962,980,0,5
"24",996,"MCTS-0","MCTS-25",4,42,0,1038,975,5,4
"25",3583,"MCTS-25","MCTS-50",40,13,1,970,967,5,5
"26",479,"MCTS-0","MCTS-25",0,41,0,1044,964,6,4
"27",3677,"MCTS-25","MCTS-50",33,0,1,959,972,5,5
"28",634,"MCTS-0","MCTS-25",0,60,0,1052,951,8,4
"29",4997,"MCTS-50","MCTS-0",10,0,1,971,1053,1,4
"30",578,"MCTS-0","MCTS-25",6,0,1,1052,952,1,6
"31",3759,"MCTS-25","MCTS-50",0,60,0,963,960,11,5
"32",3496,"MCTS-25","MCTS-50",25,0,1,959,964,4,5
"33",1403,"MCTS-0","MCTS-50",0,43,0,1057,959,5,4
"34",4052,"MCTS-50","MCTS-0",33,0,1,955,1061,4,4
"35",5228,"MCTS-50","MCTS-25",45,0,1,948,966,7,5
"36",131,"MCTS-0","MCTS-25",60,0,1,1048,979,13,6
"37",3415,"MCTS-25","MCTS-50",0,57,0,988,939,9,5
"38",1014,"MCTS-0","MCTS-50",0,29,0,1051,936,3,3
"39",4836,"MCTS-50","MCTS-0",0,22,0,941,1046,5,7
"40",3912,"MCTS-25","MCTS-50",17,18,0,988,941,0,4
"41",298,"MCTS-0","MCTS-25",27,0,1,1041,993,5,6
"42",1835,"MCTS-0","MCTS-50",38,0,1,1033,949,8,6
"43",258,"MCTS-0","MCTS-25",15,0,1,1030,996,3,6
