"","Strategy 1","Strategy 2","P1 Score","P2 Score","Winner_ID"
"1","MCTS-0","MCTS-25",0,56,0
"2","MCTS-0","MCTS-25",0,6,0
"3","MCTS-0","MCTS-25",2,0,1
"4","MCTS-0","MCTS-25",41,0,1
"5","MCTS-0","MCTS-25",40,0,1
"6","MCTS-0","MCTS-25",0,38,0
"7","MCTS-0","MCTS-25",27,0,1
"8","MCTS-0","MCTS-25",0,2,0
"9","MCTS-0","MCTS-25",2,0,1
"10","MCTS-0","MCTS-25",51,0,1
"11","MCTS-0","MCTS-25",18,60,0
"12","MCTS-0","MCTS-25",60,60,0
"13","MCTS-0","MCTS-25",7,0,1
"14","MCTS-0","MCTS-25",0,60,0
"15","MCTS-0","MCTS-25",0,37,0
"16","MCTS-0","MCTS-25",5,0,1
"17","MCTS-0","MCTS-25",12,0,1
"18","MCTS-0","MCTS-25",2,0,1
"19","MCTS-0","MCTS-25",0,4,0
"20","MCTS-0","MCTS-25",0,55,0
"21","MCTS-0","MCTS-25",0,26,0
"22","MCTS-0","MCTS-25",51,0,1
"23","MCTS-0","MCTS-25",21,0,1
"24","MCTS-0","MCTS-25",60,0,1
"25","MCTS-0","MCTS-25",2,0,1
"26","MCTS-0","MCTS-25",0,2,0
"27","MCTS-0","MCTS-25",0,60,0
"28","MCTS-0","MCTS-25",0,2,0
"29","MCTS-0","MCTS-25",60,0,1
"30","MCTS-0","MCTS-25",0,60,0
"31","MCTS-0","MCTS-25",0,2,0
"32","MCTS-0","MCTS-25",60,0,1
"33","MCTS-0","MCTS-25",32,0,1
"34","MCTS-0","MCTS-25",21,0,1
"35","MCTS-0","MCTS-25",0,19,0
"36","MCTS-0","MCTS-25",0,25,0
"37","MCTS-0","MCTS-25",10,0,1
"38","MCTS-0","MCTS-25",0,60,0
"39","MCTS-0","MCTS-25",3,0,1
"40","MCTS-0","MCTS-25",0,18,0
"41","MCTS-0","MCTS-25",60,0,1
"42","MCTS-0","MCTS-25",19,23,0
"43","MCTS-0","MCTS-25",0,44,0
"44","MCTS-0","MCTS-25",0,34,0
"45","MCTS-0","MCTS-25",30,0,1
"46","MCTS-0","MCTS-25",0,25,0
"47","MCTS-0","MCTS-25",24,17,1
"48","MCTS-0","MCTS-25",0,60,0
"49","MCTS-0","MCTS-25",2,0,1
"50","MCTS-0","MCTS-25",60,0,1
"51","MCTS-0","MCTS-25",60,13,1
"52","MCTS-0","MCTS-25",0,60,0
"53","MCTS-0","MCTS-25",2,0,1
"54","MCTS-0","MCTS-25",0,7,0
"55","MCTS-0","MCTS-25",60,0,1
"56","MCTS-0","MCTS-25",0,51,0
"57","MCTS-0","MCTS-25",39,7,1
"58","MCTS-0","MCTS-25",8,0,1
"59","MCTS-0","MCTS-25",60,0,1
"60","MCTS-0","MCTS-25",0,2,0
"61","MCTS-0","MCTS-25",20,19,1
"62","MCTS-0","MCTS-25",18,0,1
"63","MCTS-0","MCTS-25",32,0,1
"64","MCTS-0","MCTS-25",0,30,0
"65","MCTS-0","MCTS-25",0,60,0
"66","MCTS-0","MCTS-25",26,0,1
"67","MCTS-0","MCTS-25",60,14,1
"68","MCTS-0","MCTS-25",0,13,0
"69","MCTS-0","MCTS-25",0,60,0
"70","MCTS-0","MCTS-25",0,2,0
"71","MCTS-0","MCTS-25",0,10,0
"72","MCTS-0","MCTS-25",47,0,1
"73","MCTS-0","MCTS-25",2,0,1
"74","MCTS-0","MCTS-25",0,49,0
"75","MCTS-0","MCTS-25",0,60,0
"76","MCTS-0","MCTS-25",0,60,0
"77","MCTS-0","MCTS-25",14,0,1
"78","MCTS-0","MCTS-25",0,6,0
"79","MCTS-0","MCTS-25",33,0,1
"80","MCTS-0","MCTS-25",2,0,1
"81","MCTS-0","MCTS-25",0,60,0
"82","MCTS-0","MCTS-25",42,0,1
"83","MCTS-0","MCTS-25",2,0,1
"84","MCTS-0","MCTS-25",16,0,1
"85","MCTS-0","MCTS-25",0,11,0
"86","MCTS-0","MCTS-25",0,31,0
"87","MCTS-0","MCTS-25",7,0,1
"88","MCTS-0","MCTS-25",22,0,1
"89","MCTS-0","MCTS-25",0,3,0
"90","MCTS-0","MCTS-25",0,58,0
"91","MCTS-0","MCTS-25",51,0,1
"92","MCTS-0","MCTS-25",8,0,1
"93","MCTS-0","MCTS-25",0,9,0
"94","MCTS-0","MCTS-25",2,2,0
"95","MCTS-0","MCTS-25",0,52,0
"96","MCTS-0","MCTS-25",42,0,1
"97","MCTS-0","MCTS-25",2,0,1
"98","MCTS-0","MCTS-25",23,0,1
"99","MCTS-0","MCTS-25",0,37,0
"100","MCTS-0","MCTS-25",0,58,0
"101","MCTS-0","MCTS-25",14,0,1
"102","MCTS-0","MCTS-25",37,0,1
"103","MCTS-0","MCTS-25",0,13,0
"104","MCTS-0","MCTS-25",47,0,1
"105","MCTS-0","MCTS-25",52,60,0
"106","MCTS-0","MCTS-25",0,23,0
"107","MCTS-0","MCTS-25",0,41,0
"108","MCTS-0","MCTS-25",0,41,0
"109","MCTS-0","MCTS-25",0,60,0
"110","MCTS-0","MCTS-25",50,0,1
"111","MCTS-0","MCTS-25",60,0,1
"112","MCTS-0","MCTS-25",3,0,1
"113","MCTS-0","MCTS-25",4,0,1
"114","MCTS-0","MCTS-25",0,35,0
"115","MCTS-0","MCTS-25",33,0,1
"116","MCTS-0","MCTS-25",0,9,0
"117","MCTS-0","MCTS-25",0,60,0
"118","MCTS-0","MCTS-25",0,49,0
