"","X","Strategy.1","Strategy.2","P1.Score","P2.Score","Winner_ID","P1_rating","P2_rating","Avg Change in Ratings","Avg Change in Ratings without score modifications"
"1004",1004,"MCTS-25","Mindist+Opp",58,0,1,961,1039,39,20
"623",623,"MCTS-10","Mindist+Opp",0,13,0,1010,1029,10,22
"2693",2693,"MCTS-50","Mindist+Opp",19,0,1,988,1041,12,18
"934",934,"MCTS-10","Mindist+Opp",14,0,1,1001,1050,9,18
"4496",4496,"Mindist+Opp","MCTS-25",0,49,0,1074,937,24,15
"2948",2948,"MCTS-50","Mindist+Opp",0,43,0,1024,1056,27,19
"2146",2146,"MCTS-50","Mindist+Opp",4,0,1,1022,1057,2,14
"3175",3175,"Mindist+Opp","MCTS-10",60,0,1,1034,1047,35,17
"2774",2774,"MCTS-50","Mindist+Opp",13,0,1,1014,1038,6,14
"5722",5722,"Mindist+Opp","MCTS-50",0,25,0,1046,998,12,14
"2374",2374,"MCTS-50","Mindist+Opp",47,0,1,984,1053,10,6
"1103",1103,"MCTS-25","Mindist+Opp",24,0,1,926,1056,7,8
"4046",4046,"Mindist+Opp","MCTS-25",0,8,0,1057,923,2,8
"4366",4366,"Mindist+Opp","MCTS-25",0,3,0,1057,922,1,8
"3454",3454,"Mindist+Opp","MCTS-10",0,13,0,1059,1039,5,12
"2232",2232,"MCTS-50","Mindist+Opp",8,0,1,982,1060,2,6
"2622",2622,"MCTS-50","Mindist+Opp",0,9,0,986,1058,3,9
"3972",3972,"Mindist+Opp","MCTS-10",0,10,0,1060,1033,4,12
"1685",1685,"MCTS-25","Mindist+Opp",25,0,1,917,1063,4,5
"2600",2600,"MCTS-50","Mindist+Opp",20,0,1,981,1066,4,6
"5332",5332,"Mindist+Opp","MCTS-50",0,7,0,1067,979,1,6
"3000",3000,"MCTS-50","Mindist+Opp",0,22,0,984,1062,5,6
"5315",5315,"Mindist+Opp","MCTS-50",0,15,0,1064,982,2,4
"996",996,"MCTS-10","Mindist+Opp",20,0,1,1027,1067,5,7
"3583",3583,"Mindist+Opp","MCTS-10",0,18,0,1070,1022,4,7
"479",479,"MCTS-10","Mindist+Opp",0,13,0,1027,1068,4,9
"3677",3677,"Mindist+Opp","MCTS-10",0,51,0,1076,1012,11,7
"634",634,"MCTS-10","Mindist+Opp",0,32,0,1025,1070,9,9
"4997",4997,"Mindist+Opp","MCTS-25",10,0,1,1068,922,4,11
"578",578,"MCTS-10","Mindist+Opp",3,0,1,1025,1068,0,4
"3759",3759,"Mindist+Opp","MCTS-10",29,0,1,1063,1030,5,6
"3496",3496,"Mindist+Opp","MCTS-10",30,0,1,1058,1035,5,5
"1403",1403,"MCTS-25","Mindist+Opp",0,17,0,930,1054,6,10
"4052",4052,"Mindist+Opp","MCTS-25",0,49,0,1059,919,8,5
"5228",5228,"Mindist+Opp","MCTS-50",0,54,0,1066,975,7,4
"131",131,"MCTS-10","Mindist+Opp",20,0,1,1032,1069,3,5
"3415",3415,"Mindist+Opp","MCTS-10",0,60,0,1078,1023,9,4
"1014",1014,"MCTS-25","Mindist+Opp",32,0,1,913,1081,5,4
