"","Strategy 1","Strategy 2","P1 Score","P2 Score","Winner_ID"
"1","MCTS-10","Mindist+Opp",41,0,1
"2","MCTS-10","Mindist+Opp",0,15,0
"3","MCTS-10","Mindist+Opp",0,26,0
"4","MCTS-10","Mindist+Opp",0,20,0
"5","MCTS-10","Mindist+Opp",13,0,1
"6","MCTS-10","Mindist+Opp",24,0,1
"7","MCTS-10","Mindist+Opp",2,0,1
"8","MCTS-10","Mindist+Opp",0,29,0
"9","MCTS-10","Mindist+Opp",14,0,1
"10","MCTS-10","Mindist+Opp",18,0,1
"11","MCTS-10","Mindist+Opp",0,5,0
"12","MCTS-10","Mindist+Opp",43,0,1
"13","MCTS-10","Mindist+Opp",0,17,0
"14","MCTS-10","Mindist+Opp",0,60,0
"15","MCTS-10","Mindist+Opp",4,0,1
"16","MCTS-10","Mindist+Opp",8,0,1
"17","MCTS-10","Mindist+Opp",28,0,1
"18","MCTS-10","Mindist+Opp",7,0,1
"19","MCTS-10","Mindist+Opp",0,22,0
"20","MCTS-10","Mindist+Opp",0,11,0
"21","MCTS-10","Mindist+Opp",0,60,0
"22","MCTS-10","Mindist+Opp",0,50,0
"23","MCTS-10","Mindist+Opp",0,60,0
"24","MCTS-10","Mindist+Opp",0,10,0
"25","MCTS-10","Mindist+Opp",14,0,1
"26","MCTS-10","Mindist+Opp",56,0,1
"27","MCTS-10","Mindist+Opp",37,0,1
"28","MCTS-10","Mindist+Opp",60,0,1
"29","MCTS-10","Mindist+Opp",12,0,1
"30","MCTS-10","Mindist+Opp",0,41,0
"31","MCTS-10","Mindist+Opp",30,0,1
"32","MCTS-10","Mindist+Opp",0,19,0
"33","MCTS-10","Mindist+Opp",40,0,1
"34","MCTS-10","Mindist+Opp",0,27,0
"35","MCTS-10","Mindist+Opp",25,0,1
"36","MCTS-10","Mindist+Opp",26,0,1
"37","MCTS-10","Mindist+Opp",55,0,1
"38","MCTS-10","Mindist+Opp",21,0,1
"39","MCTS-10","Mindist+Opp",60,0,1
"40","MCTS-10","Mindist+Opp",0,60,0
"41","MCTS-10","Mindist+Opp",54,0,1
"42","MCTS-10","Mindist+Opp",15,0,1
"43","MCTS-10","Mindist+Opp",0,22,0
"44","MCTS-10","Mindist+Opp",60,0,1
"45","MCTS-10","Mindist+Opp",0,55,0
"46","MCTS-10","Mindist+Opp",17,0,1
"47","MCTS-10","Mindist+Opp",0,34,0
"48","MCTS-10","Mindist+Opp",35,0,1
"49","MCTS-10","Mindist+Opp",0,39,0
"50","MCTS-10","Mindist+Opp",50,0,1
"51","MCTS-10","Mindist+Opp",0,58,0
"52","MCTS-10","Mindist+Opp",20,0,1
"53","MCTS-10","Mindist+Opp",6,0,1
"54","MCTS-10","Mindist+Opp",3,0,1
"55","MCTS-10","Mindist+Opp",0,22,0
"56","MCTS-10","Mindist+Opp",54,0,1
"57","MCTS-10","Mindist+Opp",35,0,1
"58","MCTS-10","Mindist+Opp",15,0,1
"59","MCTS-10","Mindist+Opp",40,0,1
"60","MCTS-10","Mindist+Opp",9,0,1
"61","MCTS-10","Mindist+Opp",11,0,1
"62","MCTS-10","Mindist+Opp",0,12,0
"63","MCTS-10","Mindist+Opp",2,0,1
"64","MCTS-10","Mindist+Opp",23,0,1
"65","MCTS-10","Mindist+Opp",0,26,0
"66","MCTS-10","Mindist+Opp",0,24,0
"67","MCTS-10","Mindist+Opp",7,0,1
"68","MCTS-10","Mindist+Opp",0,18,0
"69","MCTS-10","Mindist+Opp",29,0,1
"70","MCTS-10","Mindist+Opp",60,0,1
"71","MCTS-10","Mindist+Opp",21,0,1
"72","MCTS-10","Mindist+Opp",35,0,1
"73","MCTS-10","Mindist+Opp",18,0,1
"74","MCTS-10","Mindist+Opp",26,0,1
"75","MCTS-10","Mindist+Opp",3,0,1
"76","MCTS-10","Mindist+Opp",24,0,1
"77","MCTS-10","Mindist+Opp",60,0,1
"78","MCTS-10","Mindist+Opp",13,0,1
"79","MCTS-10","Mindist+Opp",38,0,1
"80","MCTS-10","Mindist+Opp",0,20,0
"81","MCTS-10","Mindist+Opp",0,17,0
"82","MCTS-10","Mindist+Opp",17,0,1
"83","MCTS-10","Mindist+Opp",0,14,0
"84","MCTS-10","Mindist+Opp",2,0,1
"85","MCTS-10","Mindist+Opp",4,0,1
"86","MCTS-10","Mindist+Opp",0,52,0
"87","MCTS-10","Mindist+Opp",0,28,0
"88","MCTS-10","Mindist+Opp",13,0,1
"89","MCTS-10","Mindist+Opp",0,6,0
"90","MCTS-10","Mindist+Opp",0,20,0
"91","MCTS-10","Mindist+Opp",13,0,1
"92","MCTS-10","Mindist+Opp",23,0,1
"93","MCTS-10","Mindist+Opp",0,42,0
"94","MCTS-10","Mindist+Opp",47,0,1
"95","MCTS-10","Mindist+Opp",0,60,0
"96","MCTS-10","Mindist+Opp",47,0,1
"97","MCTS-10","Mindist+Opp",0,16,0
"98","MCTS-10","Mindist+Opp",51,0,1
"99","MCTS-10","Mindist+Opp",2,0,1
"100","MCTS-10","Mindist+Opp",60,0,1
"101","MCTS-10","Mindist+Opp",17,0,1
"102","MCTS-10","Mindist+Opp",5,0,1
"103","MCTS-10","Mindist+Opp",57,0,1
"104","MCTS-10","Mindist+Opp",7,0,1
"105","MCTS-10","Mindist+Opp",0,60,0
"106","MCTS-10","Mindist+Opp",60,0,1
"107","MCTS-10","Mindist+Opp",37,0,1
"108","MCTS-10","Mindist+Opp",29,0,1
"109","MCTS-10","Mindist+Opp",53,0,1
"110","MCTS-10","Mindist+Opp",4,0,1
"111","MCTS-10","Mindist+Opp",53,0,1
"112","MCTS-10","Mindist+Opp",16,0,1
"113","MCTS-10","Mindist+Opp",3,0,1
"114","MCTS-10","Mindist+Opp",22,0,1
"115","MCTS-10","Mindist+Opp",41,0,1
"116","MCTS-10","Mindist+Opp",60,0,1
"117","MCTS-10","Mindist+Opp",5,0,1
