"","...1","Strategy 1","Strategy 2","P1 Score","P2 Score","Winner_ID","P1_rating","P2_rating","Avg Change in Ratings","Avg Change in Ratings without score modifications"
"1",7900,"Mindist","Mindist+minscore",42,0,1,972,1028,28,20
"2",27223,"Random","Mindist+Opp",43,0,1,971,1029,29,20
"3",24559,"Minscore","Random",0,42,0,1026,945,26,18
"4",12039,"Mindist+Opp","Mindist+minscore",0,56,0,1066,991,37,20
"5",17898,"Mindist+minscore","Mindist+Opp",3,0,1,989,1068,2,16
"6",20288,"Minscore","DefeatHeuristic",0,60,0,1063,963,37,19
"7",5353,"Mindist","DefeatHeuristic",0,60,0,1011,924,39,19
"8",27493,"Random","Mindist+Opp",31,0,1,931,1082,14,13
"9",24077,"Minscore","Random",0,60,0,1088,906,25,13
"10",3011,"DefeatHeuristic","Minscore",60,0,1,902,1110,22,11
"11",6299,"Mindist","Mindist+Opp",45,0,1,987,1106,24,16
"12",11323,"Mindist+Opp","Mindist",0,18,0,1110,979,6,10
"13",24968,"Minscore","Random",0,25,0,1118,898,8,9
"14",321,"DefeatHeuristic","Mindist",60,0,1,871,1010,31,16
"15",2224,"DefeatHeuristic","Mindist+minscore",38,0,1,854,1006,17,13
"16",9881,"Mindist","Random",0,42,0,1020,888,10,7
"17",4063,"DefeatHeuristic","Random",60,24,1,843,899,11,9
"18",12264,"Mindist+Opp","Mindist+minscore",0,3,0,1111,1005,1,11
"19",1250,"DefeatHeuristic","Mindist+Opp",52,0,1,837,1117,6,4
"20",29608,"Random","Minscore",50,0,1,892,1125,7,4
"21",25470,"Random","DefeatHeuristic",55,60,0,893,836,1,8
"22",5467,"Mindist","DefeatHeuristic",0,60,0,1030,826,10,5
"23",19535,"Mindist+minscore","Random",0,50,0,1016,882,11,7
"24",19929,"Mindist+minscore","Random",17,0,1,1008,886,6,10
"25",16609,"Mindist+minscore","Mindist",0,22,0,1016,1022,8,11
"26",22358,"Minscore","Mindist+Opp",22,0,1,1117,1125,8,10
"27",20351,"Minscore","DefeatHeuristic",0,60,0,1123,820,6,3
"28",27048,"Random","Mindist+Opp",60,0,1,882,1133,6,3
"29",22741,"Minscore","Mindist+Opp",60,0,1,1104,1143,15,7
"30",25128,"Random","DefeatHeuristic",60,60,0,882,820,0,4
"31",14899,"Mindist+Opp","Random",0,34,0,1145,880,2,2
"32",14204,"Mindist+Opp","Random",0,52,0,1148,877,3,2
"33",25468,"Random","DefeatHeuristic",60,60,0,877,820,0,4
"34",25407,"Random","DefeatHeuristic",28,60,0,881,816,4,4
"35",26494,"Random","Mindist",60,0,1,875,1034,9,5
"36",8864,"Mindist","Minscore",0,12,0,1039,1099,5,12
"37",4600,"DefeatHeuristic","Random",60,0,1,808,883,8,4
"38",1008,"DefeatHeuristic","Mindist+Opp",58,0,1,806,1150,2,1
"39",17145,"Mindist+minscore","Mindist+Opp",26,0,1,1011,1153,4,5
"40",20576,"Minscore","DefeatHeuristic",0,37,0,1101,804,2,2
"41",14607,"Mindist+Opp","Random",0,55,0,1156,880,3,2
"42",8092,"Mindist","Minscore",0,7,0,1040,1100,1,6
"43",4298,"DefeatHeuristic","Random",60,35,1,801,883,3,4
"44",8745,"Mindist","Minscore",0,36,0,1047,1093,7,6
"45",26126,"Random","Mindist",49,0,1,878,1052,5,3
"46",19694,"Mindist+minscore","Random",0,60,0,1024,872,10,5
"47",27331,"Random","Mindist+Opp",45,0,1,870,1158,2,2
"48",23795,"Minscore","Mindist+minscore",19,0,1,1089,1028,4,6
"49",990,"DefeatHeuristic","Mindist",60,0,1,797,1056,4,2
"50",7975,"Mindist","Mindist+minscore",0,3,0,1056,1028,0,5
"51",12484,"Mindist+Opp","Mindist+minscore",0,29,0,1161,1025,3,3
"52",26808,"Random","Mindist",19,0,1,868,1058,2,3
"53",19564,"Mindist+minscore","Random",0,43,0,1029,864,4,3
"54",23835,"Minscore","Mindist+minscore",0,5,0,1090,1028,1,4
"55",25664,"Random","DefeatHeuristic",10,60,0,871,790,7,4
"56",3751,"DefeatHeuristic","Minscore",60,0,1,787,1093,3,2
"57",17535,"Mindist+minscore","Mindist+Opp",0,32,0,1035,1154,7,7
"58",7428,"Mindist","Mindist+minscore",0,60,0,1067,1026,9,5
"59",18384,"Mindist+minscore","Minscore",23,0,1,1023,1096,3,4
"60",23973,"Minscore","Mindist+minscore",0,20,0,1099,1020,3,4
"61",640,"DefeatHeuristic","Mindist",60,0,1,784,1070,3,2
"62",9720,"Mindist","Random",0,60,0,1075,866,5,2
"63",10674,"Mindist+Opp","DefeatHeuristic",0,60,0,1156,782,2,1
"64",22642,"Minscore","Mindist+Opp",3,0,1,1099,1156,0,4
"65",7509,"Mindist","Mindist+minscore",0,41,0,1081,1014,6,4
"66",23099,"Minscore","Mindist+minscore",15,0,1,1096,1017,3,6
"67",7183,"Mindist","Mindist+minscore",0,39,0,1086,1012,5,4
"68",6477,"Mindist","Mindist+Opp",0,39,0,1094,1148,8,6
"69",17255,"Mindist+minscore","Mindist+Opp",0,16,0,1016,1144,4,7
"70",17710,"Mindist+minscore","Mindist+Opp",9,0,1,1015,1145,1,3
"71",9212,"Mindist","Random",0,60,0,1098,862,4,2
"72",5813,"Mindist","DefeatHeuristic",0,38,0,1100,780,2,1
"73",21186,"Minscore","Mindist",0,16,0,1099,1097,3,5
"74",25929,"Random","DefeatHeuristic",54,60,0,863,779,1,4
"75",6031,"Mindist","Mindist+Opp",60,0,1,1088,1154,9,4
"76",230,"DefeatHeuristic","Mindist",60,0,1,776,1091,3,1
"77",19110,"Mindist+minscore","Random",0,54,0,1020,858,5,3
"78",16216,"Mindist+minscore","Mindist",11,0,1,1019,1092,1,4
"79",2015,"DefeatHeuristic","Mindist+minscore",60,0,1,772,1023,4,2
"80",15401,"Mindist+minscore","DefeatHeuristic",0,60,0,1027,768,4,2
"81",16087,"Mindist+minscore","Mindist",0,32,0,1033,1086,6,6
"82",10247,"Mindist+Opp","DefeatHeuristic",0,60,0,1156,766,2,1
"83",4458,"DefeatHeuristic","Random",60,49,1,765,859,1,4
"84",18363,"Mindist+minscore","Minscore",0,6,0,1034,1098,1,6
"85",9402,"Mindist","Random",0,5,0,1086,859,0,2
"86",14031,"Mindist+Opp","Random",0,16,0,1157,858,1,2
"87",6649,"Mindist","Mindist+Opp",0,39,0,1094,1149,8,6
"88",17312,"Mindist+minscore","Mindist+Opp",0,24,0,1039,1144,5,7
"89",29437,"Random","Minscore",60,0,1,854,1102,4,2
"90",1512,"DefeatHeuristic","Mindist+Opp",60,0,1,763,1146,2,1
"91",28119,"Random","Mindist+minscore",49,0,1,850,1043,4,3
"92",8175,"Mindist","Minscore",24,0,1,1090,1106,4,5
"93",24929,"Minscore","Random",0,46,0,1109,847,3,2
"94",29481,"Random","Minscore",15,0,1,846,1110,1,2
"95",25820,"Random","DefeatHeuristic",60,60,1,846,763,0,6
"96",9349,"Mindist","Random",0,23,0,1092,844,2,2
"97",15174,"Mindist+minscore","DefeatHeuristic",0,40,0,1045,761,2,2
"98",7423,"Mindist","Mindist+minscore",0,20,0,1095,1042,3,4
"99",3292,"DefeatHeuristic","Minscore",60,0,1,759,1112,2,1
"100",713,"DefeatHeuristic","Mindist",60,0,1,756,1098,3,1
