"","Strategy 1","Strategy 2","P1 Score","P2 Score","Winner_ID"
"1","DefeatHeuristic","Mindist",60,0,1
"2","DefeatHeuristic","Mindist",60,0,1
"3","DefeatHeuristic","Mindist",60,0,1
"4","DefeatHeuristic","Mindist",60,0,1
"5","DefeatHeuristic","Mindist",60,0,1
"6","DefeatHeuristic","Mindist",52,0,1
"7","DefeatHeuristic","Mindist",60,0,1
"8","DefeatHeuristic","Mindist",60,0,1
"9","DefeatHeuristic","Mindist",60,0,1
"10","DefeatHeuristic","Mindist",60,0,1
"11","DefeatHeuristic","Mindist",60,0,1
"12","DefeatHeuristic","Mindist",60,0,1
"13","DefeatHeuristic","Mindist",60,0,1
"14","DefeatHeuristic","Mindist",60,0,1
"15","DefeatHeuristic","Mindist",60,0,1
"16","DefeatHeuristic","Mindist",60,0,1
"17","DefeatHeuristic","Mindist",60,0,1
"18","DefeatHeuristic","Mindist",60,0,1
"19","DefeatHeuristic","Mindist",60,0,1
"20","DefeatHeuristic","Mindist",60,0,1
"21","DefeatHeuristic","Mindist",60,0,1
"22","DefeatHeuristic","Mindist",60,0,1
"23","DefeatHeuristic","Mindist",60,0,1
"24","DefeatHeuristic","Mindist",60,0,1
"25","DefeatHeuristic","Mindist",60,0,1
"26","DefeatHeuristic","Mindist",60,0,1
"27","DefeatHeuristic","Mindist",60,0,1
"28","DefeatHeuristic","Mindist",60,0,1
"29","DefeatHeuristic","Mindist",60,0,1
"30","DefeatHeuristic","Mindist",60,0,1
"31","DefeatHeuristic","Mindist",60,0,1
"32","DefeatHeuristic","Mindist",60,0,1
"33","DefeatHeuristic","Mindist",60,0,1
"34","DefeatHeuristic","Mindist",60,0,1
"35","DefeatHeuristic","Mindist",60,0,1
"36","DefeatHeuristic","Mindist",60,0,1
"37","DefeatHeuristic","Mindist",60,0,1
"38","DefeatHeuristic","Mindist",60,0,1
"39","DefeatHeuristic","Mindist",60,0,1
"40","DefeatHeuristic","Mindist",60,0,1
"41","DefeatHeuristic","Mindist",60,0,1
"42","DefeatHeuristic","Mindist",60,0,1
"43","DefeatHeuristic","Mindist",60,0,1
"44","DefeatHeuristic","Mindist",60,0,1
"45","DefeatHeuristic","Mindist",60,0,1
"46","DefeatHeuristic","Mindist",60,0,1
"47","DefeatHeuristic","Mindist",24,0,1
"48","DefeatHeuristic","Mindist",60,0,1
"49","DefeatHeuristic","Mindist",60,0,1
"50","DefeatHeuristic","Mindist",60,0,1
"51","DefeatHeuristic","Mindist",60,0,1
"52","DefeatHeuristic","Mindist",60,0,1
"53","DefeatHeuristic","Mindist",60,0,1
"54","DefeatHeuristic","Mindist",60,0,1
"55","DefeatHeuristic","Mindist",60,0,1
"56","DefeatHeuristic","Mindist",60,0,1
"57","DefeatHeuristic","Mindist",53,0,1
"58","DefeatHeuristic","Mindist",60,0,1
"59","DefeatHeuristic","Mindist",60,0,1
"60","DefeatHeuristic","Mindist",56,0,1
"61","DefeatHeuristic","Mindist",60,0,1
"62","DefeatHeuristic","Mindist",60,0,1
"63","DefeatHeuristic","Mindist",60,0,1
"64","DefeatHeuristic","Mindist",57,0,1
"65","DefeatHeuristic","Mindist",60,0,1
"66","DefeatHeuristic","Mindist",60,0,1
"67","DefeatHeuristic","Mindist",60,0,1
"68","DefeatHeuristic","Mindist",60,0,1
"69","DefeatHeuristic","Mindist",60,0,1
"70","DefeatHeuristic","Mindist",60,0,1
"71","DefeatHeuristic","Mindist",60,0,1
"72","DefeatHeuristic","Mindist",60,0,1
"73","DefeatHeuristic","Mindist",60,0,1
"74","DefeatHeuristic","Mindist",60,0,1
"75","DefeatHeuristic","Mindist",60,0,1
"76","DefeatHeuristic","Mindist",60,0,1
"77","DefeatHeuristic","Mindist",60,0,1
"78","DefeatHeuristic","Mindist",60,0,1
"79","DefeatHeuristic","Mindist",60,0,1
"80","DefeatHeuristic","Mindist",60,0,1
"81","DefeatHeuristic","Mindist",60,0,1
"82","DefeatHeuristic","Mindist",60,0,1
"83","DefeatHeuristic","Mindist",60,0,1
"84","DefeatHeuristic","Mindist",60,0,1
"85","DefeatHeuristic","Mindist",60,0,1
"86","DefeatHeuristic","Mindist",60,0,1
"87","DefeatHeuristic","Mindist",60,0,1
"88","DefeatHeuristic","Mindist",60,0,1
"89","DefeatHeuristic","Mindist",60,0,1
"90","DefeatHeuristic","Mindist",60,0,1
"91","DefeatHeuristic","Mindist",37,0,1
"92","DefeatHeuristic","Mindist",60,0,1
"93","DefeatHeuristic","Mindist",60,0,1
"94","DefeatHeuristic","Mindist",60,0,1
"95","DefeatHeuristic","Mindist",60,0,1
"96","DefeatHeuristic","Mindist",60,0,1
"97","DefeatHeuristic","Mindist",60,0,1
"98","DefeatHeuristic","Mindist",47,0,1
"99","DefeatHeuristic","Mindist",60,0,1
"100","DefeatHeuristic","Mindist",60,0,1
"101","DefeatHeuristic","Mindist",60,0,1
"102","DefeatHeuristic","Mindist",60,0,1
"103","DefeatHeuristic","Mindist",60,0,1
"104","DefeatHeuristic","Mindist",60,0,1
"105","DefeatHeuristic","Mindist",60,0,1
"106","DefeatHeuristic","Mindist",60,0,1
"107","DefeatHeuristic","Mindist",60,0,1
"108","DefeatHeuristic","Mindist",60,0,1
"109","DefeatHeuristic","Mindist",60,0,1
"110","DefeatHeuristic","Mindist",60,0,1
"111","DefeatHeuristic","Mindist",60,0,1
"112","DefeatHeuristic","Mindist",60,0,1
"113","DefeatHeuristic","Mindist",60,0,1
"114","DefeatHeuristic","Mindist",60,0,1
"115","DefeatHeuristic","Mindist",60,0,1
"116","DefeatHeuristic","Mindist",60,0,1
"117","DefeatHeuristic","Mindist",60,0,1
"118","DefeatHeuristic","Mindist",60,0,1
"119","DefeatHeuristic","Mindist",60,0,1
"120","DefeatHeuristic","Mindist",60,0,1
"121","DefeatHeuristic","Mindist",60,0,1
"122","DefeatHeuristic","Mindist",60,0,1
"123","DefeatHeuristic","Mindist",60,0,1
"124","DefeatHeuristic","Mindist",60,0,1
"125","DefeatHeuristic","Mindist",60,0,1
"126","DefeatHeuristic","Mindist",60,0,1
"127","DefeatHeuristic","Mindist",60,0,1
"128","DefeatHeuristic","Mindist",60,0,1
"129","DefeatHeuristic","Mindist",60,0,1
"130","DefeatHeuristic","Mindist",60,0,1
"131","DefeatHeuristic","Mindist",60,0,1
"132","DefeatHeuristic","Mindist",60,0,1
