init.hand1,init.hand2,wcj,score1,score2,winner,numrounds,finish.hand1,finish.hand2,pure.seq.counts,impure.seq.counts,set.counts
0 22 44 36 52 5 24 7 52 6,49 18 39 37 30 40 46 38 33 14,11,0,40,0,1,0 36 52 5 24 7 52 6 3 38,37 33 35 39 40 14 30 18 46 49,1,2,0
40 26 45 31 24 29 49 28 17 4,51 10 15 5 12 20 19 6 11 50,7,37,0,1,2,40 26 24 29 49 28 17 4 1 30,10 12 11 51 20 50 19 6 45 52,1,1,1
28 38 3 8 52 52 27 43 41 12,5 11 18 29 20 9 16 26 47 39,1,0,53,0,2,28 38 8 52 52 27 41 12 15 47,26 39 13 29 16 5 18 20 11 9,0,0,3
35 32 24 14 45 10 21 46 52 43,40 11 26 52 28 7 39 38 2 33,9,0,5,0,3,35 32 24 45 10 52 6 11 37 36,26 52 28 38 7 33 20 46 39 40,0,0,3
39 41 20 1 36 26 6 33 5 30,9 42 8 3 52 12 44 10 35 4,45,0,18,0,3,39 41 20 1 6 33 19 12 51 46,9 8 10 52 35 48 13 42 3 4,0,2,1
6 52 25 48 7 49 9 18 12 47,19 11 2 35 16 26 0 24 44 3,5,0,36,0,0,6 52 25 48 7 49 18 12 47 46,19 11 2 35 16 26 0 24 44 3,1,1,1
14 6 21 33 4 0 39 11 20 10,1 43 49 35 40 45 38 46 36 9,29,0,49,0,3,6 21 4 11 20 10 3 22 12 9,49 36 23 1 40 43 45 46 35 38,2,1,0
0 30 33 25 23 51 45 26 27 7,21 44 13 47 2 17 48 19 41 34,20,0,41,0,2,0 33 25 23 45 26 7 6 24 32,21 44 13 47 2 17 48 19 41 34,1,0,2
21 2 52 43 32 30 34 28 23 16,29 45 19 37 20 25 50 39 38 5,3,0,2,0,4,21 2 52 43 30 34 28 16 47 42,29 37 50 52 45 19 25 38 12 39,0,0,3
37 48 14 49 2 52 17 15 33 29,28 47 24 8 1 20 13 10 0 22,27,0,16,0,4,48 14 49 2 52 17 15 43 4 41,47 8 34 1 24 52 13 0 28 45,0,1,2
48 26 47 22 10 36 4 29 25 37,6 49 52 42 14 8 2 9 46 21,23,0,17,0,2,48 26 47 22 10 36 29 34 27 21,6 49 8 9 52 2 0 14 42 46,0,1,2
10 41 50 8 52 27 14 30 47 5,32 1 52 35 15 9 26 7 36 12,20,16,0,1,5,10 8 52 27 14 47 3 2 1 0,52 35 9 7 32 30 15 17 33 18,0,2,1
4 34 26 44 42 9 41 51 30 19,1 20 16 24 52 10 52 25 35 33,36,54,0,1,3,4 34 26 44 42 41 30 0 14 46,52 24 25 35 33 34 20 10 52 17,1,2,0
48 1 40 7 46 22 25 6 10 15,26 50 39 2 41 38 37 24 14 29,5,0,2,0,7,48 1 40 7 46 6 18 47 9 8,50 37 24 26 38 27 13 14 52 39,2,0,1
52 8 6 46 1 30 27 47 38 52,43 42 39 14 10 41 20 51 5 23,17,0,39,0,0,52 8 6 46 1 30 27 47 52 45,43 42 39 14 10 41 20 51 5 23,1,1,1
31 0 13 9 17 45 28 27 51 1,26 32 20 11 50 37 35 52 46 48,47,35,0,1,5,31 0 13 45 28 27 1 40 43 30,11 50 37 24 52 26 39 35 48 22,0,0,3
21 23 26 5 37 50 47 35 10 3,46 12 51 52 0 13 19 11 40 32,1,0,9,0,5,21 23 37 50 47 10 49 11 8 34,12 51 52 19 40 16 17 0 13 29,0,0,3
14 0 22 18 50 27 17 24 52 44,8 33 26 12 49 1 9 29 2 15,6,0,5,0,7,22 18 27 17 24 52 19 28 29 16,32 2 15 12 8 9 10 11 26 1,2,1,0
22 12 30 49 48 41 23 46 52 33,3 0 21 29 1 4 28 7 44 35,9,0,32,0,1,22 12 49 48 23 46 52 33 36 7,21 35 19 0 1 28 3 29 4 44,0,1,2
3 14 5 18 24 45 30 49 26 8,42 9 36 0 2 31 44 6 29 34,12,0,20,0,10,3 5 18 24 19 21 20 25 23 38,42 29 16 0 2 1 13 15 31 44,1,2,0
41 32 47 30 20 7 17 40 37 29,8 33 31 22 15 0 50 26 44 16,21,0,18,0,4,41 32 47 30 20 7 40 29 39 33,15 16 14 8 22 23 0 26 31 44,1,1,1
6 33 10 7 19 2 29 23 41 50,51 24 17 32 25 42 47 5 27 34,48,0,5,0,8,6 10 7 2 23 41 49 36 35 28,51 25 9 27 14 1 5 44 22 42,0,1,2
