init.hand1,init.hand2,wcj,score1,score2,winner,numrounds,finish.hand1,finish.hand2,pure.seq.counts,impure.seq.counts,set.counts
9 13 6 23 21 7 0 8 47 39,16 12 48 24 18 22 29 1 31 52,11,0,5,0,2,13 0 39 9 6 7 8 10 23 36,16 12 48 24 18 22 1 31 52 52,1,0,2
45 50 51 23 40 52 21 11 39 6,38 27 16 2 0 32 31 49 37 1,19,0,0,1,8,45 50 51 23 40 52 21 11 39 6,38 27 2 0 32 37 1 24 52 3,1,1,1
15 47 52 10 33 36 3 43 7 22,9 26 27 42 24 1 51 28 35 18,50,21,0,1,3,52 33 7 10 36 49 15 3 43 17,9 26 27 24 51 28 35 22 25 29,1,0,2
29 42 9 0 51 17 10 25 28 38,36 52 52 20 43 6 15 23 47 1,33,15,0,1,3,51 25 38 29 42 3 0 27 28 17,36 52 52 20 6 23 47 10 9 34,0,1,2
52 35 9 51 15 6 36 24 48 32,20 3 34 40 49 39 10 29 13 0,41,0,5,0,4,35 9 48 52 6 32 51 12 25 15,20 49 39 10 29 13 0 33 36 46,0,0,3
19 30 35 1 3 16 31 2 23 7,46 15 20 49 5 26 44 50 37 41,24,27,0,1,5,1 3 2 30 31 29 16 17 19 6,46 20 5 26 44 50 37 39 13 7,0,0,3
26 47 41 24 51 38 14 15 11 34,40 46 7 36 44 6 2 48 19 39,22,39,0,1,5,51 38 12 26 14 41 15 17 47 24,40 46 7 6 48 19 39 32 20 9,0,1,2
41 20 8 45 25 4 47 50 7 19,34 31 35 26 13 51 52 9 40 17,38,15,0,1,6,8 25 47 20 7 46 39 41 15 29,34 31 35 26 13 51 52 9 22 12,0,1,2
28 34 16 46 5 50 8 33 24 3,14 41 17 45 37 20 47 30 0 1,27,20,0,1,6,33 34 35 5 18 40 28 16 3 43,14 17 45 37 47 30 1 24 50 46,1,0,2
29 7 33 48 42 9 40 37 13 5,4 52 2 20 35 16 12 23 8 27,34,42,0,1,3,7 33 46 13 40 29 42 5 48 9,4 52 2 20 16 23 8 15 14 47,1,2,0
11 20 41 18 47 22 0 4 33 43,52 35 31 23 49 6 24 5 19 39,37,31,0,1,4,11 20 22 0 1 41 29 3 4 43,52 31 23 49 6 24 5 19 18 45,0,0,3
