init.hand1,init.hand2,wcj,score1,score2,winner,numrounds,finish.hand1,finish.hand2,pure.seq.counts,impure.seq.counts,set.counts
20 46 12 3 10 22 25 0 50 33,16 42 7 14 1 49 8 23 21 44,34,27,0,1,4,20 46 33 12 10 11 0 3 22 25,49 8 23 42 21 44 13 14 16 52,0,2,1
10 51 45 29 33 49 37 19 15 42,13 36 52 50 22 7 0 12 39 47,3,0,15,0,4,45 29 19 10 49 23 42 15 16 25,52 50 48 0 12 1 13 39 27 6,0,1,2
9 22 6 21 14 4 2 44 50 29,46 35 10 49 51 15 34 24 52 16,43,31,0,1,5,4 44 45 47 0 14 2 29 6 33,49 51 50 52 15 16 35 48 22 9,1,1,1
46 39 17 6 9 35 52 26 49 12,47 51 45 27 25 52 36 50 8 23,14,14,0,1,5,52 17 30 9 35 22 39 26 29 42,50 49 27 47 51 25 38 45 52 6,0,1,2
5 22 12 33 40 38 0 15 20 46,4 17 26 52 52 3 8 16 9 7,51,13,0,1,1,22 12 38 33 20 46 0 40 15 41,17 52 16 8 9 7 4 3 5 52,2,1,0
23 33 20 36 38 29 34 42 30 3,35 52 39 18 46 49 10 11 26 7,2,0,7,0,6,36 38 37 42 3 16 29 27 30 52,49 10 23 52 39 26 7 8 9 18,1,1,1
43 47 30 6 32 24 44 13 31 23,14 35 7 45 33 39 19 42 20 11,27,12,0,1,8,30 32 31 24 23 40 21 13 28 43,7 33 20 14 35 37 42 29 3 16,0,1,2
4 3 14 24 5 23 32 9 52 6,42 36 40 8 30 0 12 31 21 44,2,0,18,0,9,4 3 5 24 23 52 32 6 15 28,8 21 47 42 44 43 0 40 30 31,1,1,1
19 51 1 10 31 37 0 5 17 28,34 2 18 11 52 6 52 36 44 9,50,2,0,1,9,31 37 33 15 17 24 1 27 40 0,34 11 36 52 6 8 9 52 22 23,0,3,0
9 39 45 1 27 33 4 40 41 0,51 20 15 29 52 22 6 3 43 18,24,6,0,1,10,40 39 41 27 26 38 0 1 11 4,52 29 3 6 45 32 20 22 21 23,1,0,2
46 8 2 50 39 36 3 35 42 44,25 52 5 19 30 47 7 32 34 49,43,13,0,1,10,3 42 16 44 46 17 39 1 2 41,52 32 19 30 15 52 34 47 21 8,0,1,2
43 34 7 39 8 44 40 21 37 18,35 5 15 19 2 41 48 10 46 23,30,0,7,0,10,34 8 21 43 44 18 40 14 1 4,15 2 41 26 0 13 3 42 29 5,0,0,3
0 39 52 19 9 22 45 47 52 8,43 40 11 48 14 18 25 44 20 4,5,0,12,0,5,52 9 7 45 52 19 47 8 34 21,18 48 22 25 44 12 39 14 40 2,0,1,2
29 23 28 42 52 2 24 50 32 30,6 36 49 37 52 44 10 21 14 7,26,3,0,1,9,23 52 24 29 42 16 28 2 41 1,36 49 10 52 44 18 6 7 8 39,1,0,2
0 5 13 3 30 29 50 43 32 6,14 26 52 28 41 33 4 1 22 19,2,52,0,1,5,0 13 27 3 29 30 43 5 32 6,52 22 23 28 19 45 33 34 41 31,0,2,1
50 43 3 29 52 42 49 2 23 32,19 15 28 8 6 34 31 52 22 17,33,2,0,1,7,3 29 42 49 10 36 23 52 21 13,8 34 52 15 28 41 17 43 30 46,0,0,3
52 29 18 12 19 37 44 43 7 39,23 42 16 35 52 21 8 45 11 2,30,0,7,0,14,52 37 34 36 18 19 43 4 39 26,52 42 44 45 41 14 16 17 27 2,0,2,1
26 29 3 32 34 39 27 31 4 6,0 40 35 5 50 36 48 33 2 13,16,0,22,0,10,29 32 34 31 3 4 6 26 27 38,35 36 33 42 0 13 40 2 15 5,1,2,0
10 52 41 2 5 25 43 11 46 50,48 27 9 4 51 6 17 35 14 21,18,0,2,0,16,52 10 11 41 2 28 29 16 42 5,48 9 35 4 17 43 27 14 40 0,0,1,2
42 16 22 50 44 7 12 34 30 21,38 9 8 47 3 29 25 39 27 2,40,0,11,0,7,22 21 20 52 30 31 42 44 14 45,27 2 3 5 9 8 7 39 41 29,1,2,0
26 24 43 19 0 12 6 30 52 13,25 1 23 2 32 11 10 52 40 31,50,0,17,0,1,24 19 6 26 0 13 43 52 41 44,23 11 10 25 52 38 1 40 2 31,0,1,2
42 9 44 39 14 32 19 47 17 40,29 21 22 11 15 3 7 6 28 0,36,0,11,0,12,39 40 51 19 52 17 16 13 14 52,21 22 20 26 28 29 10 0 15 3,1,2,0
17 9 2 19 52 40 36 39 23 33,5 51 7 10 1 45 22 6 31 25,16,0,5,0,11,52 33 35 36 37 38 39 40 41 42,5 6 4 8 10 9 7 11 13 1,2,1,0
8 14 43 13 27 1 24 34 52 46,20 9 2 45 48 42 51 40 28 47,31,0,16,0,10,8 34 52 14 13 25 27 1 44 18,42 40 41 45 19 6 26 2 28 4,1,0,2
27 24 26 50 6 4 42 29 15 44,16 48 47 43 28 31 33 39 17 5,23,0,7,0,17,26 27 38 44 52 41 42 46 52 20,31 33 36 16 17 18 19 39 13 40,1,1,1
20 50 48 8 17 36 43 49 4 15,5 33 0 29 6 11 30 1 21 34,10,0,12,0,6,50 48 36 17 43 4 49 15 13 16,21 34 23 5 6 52 0 1 27 41,0,2,1
40 22 15 21 35 0 10 42 14 37,19 49 52 4 32 23 17 46 3 9,30,31,0,1,2,22 21 52 0 40 14 15 28 42 35,19 52 32 4 3 2 49 23 10 17,1,0,2
45 17 38 20 23 1 26 12 35 8,16 27 29 18 52 10 3 52 43 7,4,16,0,1,3,17 44 45 12 38 51 0 26 1 20,16 29 3 52 10 52 7 18 43 19,0,2,1
35 20 18 13 29 9 10 52 5 8,32 25 34 28 48 23 17 15 6 7,45,0,4,0,6,9 35 48 18 5 44 10 8 52 11,32 17 15 25 23 24 6 34 36 28,0,1,2
38 28 13 7 31 47 34 29 39 21,17 6 18 25 42 50 23 49 33 20,26,0,56,0,1,47 34 21 28 13 29 31 38 39 51,33 20 7 42 17 18 6 25 50 23,0,1,2
47 38 31 49 42 12 2 17 48 44,25 8 29 11 5 15 14 50 34 40,33,2,0,1,11,47 49 48 17 4 43 1 2 0 26,14 40 27 46 29 42 11 50 37 24,0,0,3
